colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#642B2B,1159970300721529913_179350160,MonJan11,11,1452499257,00
#343434,1159970338310847683_145500126,MonJan11,11,1452499261,00
#7A5F5F,1159970336048390774_179657535,MonJan11,11,1452499261,00
#C09999,1159970664468917165_7690713,MonJan11,11,1452499300,00
#312E2E,1159970820623246488_344891096,MonJan11,11,1452499319,00
#A06262,1159971012094057158_925266909,MonJan11,11,1452499341,00
#9D2121,1159971137714337879_1830312765,MonJan11,11,1452499356,00
#85A3A3,1159971893895153243_1584265944,MonJan11,11,1452499447,00
#857F7F,1159971913586911457_13804553,MonJan11,11,1452499449,00
#4C7373,1159972048641476307_263127576,MonJan11,11,1452499465,00
#5F4A4A,1159972181106860047_12008431,MonJan11,11,1452499481,00
#4A3333,1159972241291914756_459225298,MonJan11,11,1452499488,00
#A79F9F,1159972536204414362_492287834,MonJan11,11,1452499523,00
#453E3E,1159972657929044592_2225305431,MonJan11,11,1452499538,00
#201212,1159972731490561130_13662202,MonJan11,11,1452499546,00
#607171,1159973090497542662_22076933,MonJan11,11,1452499589,00
#3A5656,1159973551483953168_1010455807,MonJan11,11,1452499644,00
#689090,1159973564280416515_13804553,MonJan11,11,1452499646,00
#3F3636,1159973618156347140_8505550,MonJan11,11,1452499652,00
#884E4E,1159973664252240872_1497126031,MonJan11,11,1452499658,00
#715252,1159973748323189420_249401343,MonJan11,11,1452499668,00
#7A5555,1159973809132667976_2278396792,MonJan11,11,1452499675,00
#6E4F4F,1159973983438018371_11555292,MonJan11,11,1452499696,00
#828E8E,1159974130317719239_238778772,MonJan11,11,1452499713,00
#654D4D,1159974427920284272_2227403693,MonJan11,11,1452499749,00
#456969,1159974833199982863_13804553,MonJan11,11,1452499797,00
#3B7E7E,1159974830145036203_256048094,MonJan11,11,1452499797,00
#EB5454,1159975178456866000_39153142,MonJan11,11,1452499838,00
#A67474,1159975177634260094_1649402632,MonJan11,11,1452499838,00
#143939,1159975227620503805_253436195,MonJan11,11,1452499844,00
#B29F9F,1159975318126812965_2052774,MonJan11,11,1452499855,00
#503D3D,1159975543688237619_1367137915,MonJan11,11,1452499882,00
#A25959,1159975767245330305_928188588,MonJan11,11,1452499908,00
#545F5F,1159975953226249912_1010790748,MonJan11,11,1452499930,00
#607D7D,1159976108125541475_198359308,MonJan11,11,1452499949,00
#9C8B8B,1159976120683538720_13804553,MonJan11,11,1452499950,00
#ACA8A8,1159976857987994184_20520787,MonJan11,11,1452500038,00
#BCADAD,1159976856061729948_2520983830,MonJan11,11,1452500038,00
#6A7A7A,1159976936802302380_2233034045,MonJan11,11,1452500048,00
#538383,1159977781736974653_13804553,MonJan11,11,1452500148,00
#534545,1159977819357303069_214827035,MonJan11,11,1452500153,00
#CFC9C9,1159977829643424386_258838683,MonJan11,11,1452500154,00
#644A4A,1159978120761950019_269973950,MonJan11,11,1452500189,00
#829A9A,1159978238839826714_4313785,MonJan11,11,1452500203,00
#C2A9A9,1159978356901960697_2149629,MonJan11,11,1452500217,00
#689393,1159978391436982022_238778772,MonJan11,11,1452500221,00
#7C4444,1159979214734714390_217131624,MonJan11,11,1452500319,00
#8E8383,1159979556145927638_199454804,MonJan11,11,1452500360,00
#577B7B,1159979879773663782_1170875155,MonJan11,11,1452500399,00
#8E4444,1159980068588339046_269973950,MonJan11,11,1452500421,00
#451313,1159980263414522752_188969695,MonJan11,11,1452500444,00
#9C4B4B,1159980423374104871_208176977,MonJan11,11,1452500463,00
#6F6868,1159981130566851247_2522841525,MonJan11,11,1452500548,00
#EB3F3F,1159981321265727845_224292161,MonJan11,11,1452500570,00
#456565,1159981483591489356_197555020,MonJan11,11,1452500590,00
#D05A5A,1159981649662632180_2233071847,MonJan11,11,1452500610,00
#466767,1159982153467549394_214883700,MonJan11,11,1452500670,00
#222222,1159982688997492523_696744880,MonJan11,11,1452500733,00
#87ABAB,1159983646168507345_838412231,MonJan11,11,1452500848,00
#4B5959,1159983727271946662_13804553,MonJan11,11,1452500857,00
#6F6969,1159983776518303331_219276466,MonJan11,11,1452500863,00
#E6B8B8,1159983849409485644_1565443973,MonJan11,11,1452500872,00
#679191,1159984089482050429_2340727989,MonJan11,11,1452500900,00
#4F4242,1159984963643713973_13804553,MonJan11,11,1452501005,00
#7D8181,1159985418028644224_238778772,MonJan11,11,1452501059,00
#363D3D,1159985857198238145_13804553,MonJan11,11,1452501111,00
#625454,1159986134832858686_4806488,MonJan11,11,1452501144,00
#7F7676,1159986151475229590_1566245875,MonJan11,11,1452501146,00
#4C4949,1159986362442438744_207017933,MonJan11,11,1452501171,00
#8E9696,1159986736641309858_1073222782,MonJan11,11,1452501216,00
#384141,1159986984199334359_13804553,MonJan11,11,1452501245,00
#536565,1159988320496200170_13804553,MonJan11,11,1452501405,00
#5B2828,1159988428221576858_1456098452,MonJan11,11,1452501418,00
#5A2E2E,1159988500277103099_616450897,MonJan11,11,1452501426,00
#9C7575,1159988545409316177_288807364,MonJan11,11,1452501432,00
#A1A1A1,1159988594812407478_11389882,MonJan11,11,1452501437,00
#1D2C2C,1159988763606477270_15853417,MonJan11,11,1452501458,00
#468181,1159988850730933851_224613782,MonJan11,11,1452501468,00
#943C3C,1159989000205487947_199661778,MonJan11,11,1452501486,00
#8F5D5D,1159989710169353197_1499724137,MonJan11,11,1452501570,00
#495353,1159989715714648585_13804553,MonJan11,11,1452501571,00
#3D4848,1159989755658638101_585637051,MonJan11,11,1452501576,00
#82ABAB,1159990138164795671_1616149405,MonJan11,11,1452501621,00
#385555,1159990269329070360_1616149405,MonJan11,11,1452501637,00
#345D5D,1159990453945707032_13804553,MonJan11,11,1452501659,00
#27AEAE,1159990634040580381_1616149405,MonJan11,11,1452501681,00
#886565,1159990867217181242_1659852905,MonJan11,11,1452501708,00
#623A3A,1159991169560256098_40928750,MonJan11,11,1452501744,00
#626B6B,1159991707254073900_13804553,MonJan11,11,1452501809,00
#706969,1159991920354051837_345210432,MonJan11,11,1452501834,00
#916868,1159992318817367336_450579764,MonJan11,11,1452501881,00
#558888,1159992406373515772_4475719,MonJan11,11,1452501892,00
#A38A8A,1159992922014725476_493657540,MonJan11,11,1452501953,00
#3B4040,1159993240213465675_13804553,MonJan11,11,1452501991,00
#7E6969,1159993311798275677_27621066,MonJan11,11,1452502000,00
#755F5F,1159994666377644511_405309705,MonJan11,11,1452502161,00
#5A6363,1159994931591719518_13804553,MonJan11,11,1452502193,00
#668989,1159995004144724748_1365754489,MonJan11,11,1452502202,00
