colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#824040,1173015788207241477_2229955285,FriJan29,29,1454054400,00
#363939,1173015849312016245_235382388,FriJan29,29,1454054407,00
#90A2A2,1173015896396919494_500442043,FriJan29,29,1454054413,00
#D07777,1173016225340520255_37928132,FriJan29,29,1454054452,00
#A16F6F,1173016589807326350_2058741732,FriJan29,29,1454054495,00
#9CB3B3,1173016894103637155_296081298,FriJan29,29,1454054532,00
#528C8C,1173016905445912422_506427154,FriJan29,29,1454054533,00
#4A2020,1173017015244251877_518557007,FriJan29,29,1454054546,00
#9F8080,1173017129503495905_240425068,FriJan29,29,1454054560,00
#5F5C5C,1173017169503550212_2618165,FriJan29,29,1454054565,00
#737B7B,1173017353498014054_612741931,FriJan29,29,1454054587,00
#504A4A,1173017484026343510_2269043483,FriJan29,29,1454054602,00
#1F1E1E,1173017513024721604_441392467,FriJan29,29,1454054605,00
#8C3E3E,1173017746460670236_2229955285,FriJan29,29,1454054633,00
#778787,1173017742142948082_262497639,FriJan29,29,1454054633,00
#949595,1173017792300327088_1552719487,FriJan29,29,1454054639,00
#9D5757,1173018036044427801_254735891,FriJan29,29,1454054668,00
#2F4545,1173019343873818671_14334271,FriJan29,29,1454054824,00
#434545,1173019932217442930_50729479,FriJan29,29,1454054894,00
#334A4A,1173019988290712798_274835012,FriJan29,29,1454054901,00
#661111,1173020125814932267_197066359,FriJan29,29,1454054917,00
#736767,1173020373817496847_2713563076,FriJan29,29,1454054947,00
#5C4E4E,1173020445513757092_612741931,FriJan29,29,1454054955,00
#9E9B9B,1173020823054361741_421479776,FriJan29,29,1454055000,00
#4F3A3A,1173021169114839014_387766692,FriJan29,29,1454055041,00
#767070,1173021510693442081_2430664499,FriJan29,29,1454055082,00
#A49393,1173021523986756026_612741931,FriJan29,29,1454055084,00
#7B5757,1173021554494517646_12915363,FriJan29,29,1454055087,00
#5B6868,1173021576850631065_3520825,FriJan29,29,1454055090,00
#150F0F,1173021714173197572_11801854,FriJan29,29,1454055106,00
#716C6C,1173021738760955433_1381197584,FriJan29,29,1454055109,00
#6F4242,1173021753270922272_317320314,FriJan29,29,1454055111,00
#4B5050,1173022400053987899_2294869817,FriJan29,29,1454055188,00
#281A1A,1173022539115885271_245065475,FriJan29,29,1454055205,00
#434242,1173022643055329935_276759959,FriJan29,29,1454055217,00
#945D5D,1173022961016941266_2085134777,FriJan29,29,1454055255,00
#895A5A,1173023187966722878_1435550863,FriJan29,29,1454055282,00
#9E4E4E,1173023220204242293_35765960,FriJan29,29,1454055286,00
#335959,1173023580783816200_37879522,FriJan29,29,1454055329,00
#735F5F,1173023637002980942_181133266,FriJan29,29,1454055336,00
#524040,1173023920850042622_246204958,FriJan29,29,1454055369,00
#A28282,1173023980522660150_966111,FriJan29,29,1454055377,00
#C5C0C0,1173024111937512871_1082510056,FriJan29,29,1454055392,00
#363030,1173024353136901002_1981231757,FriJan29,29,1454055421,00
#564949,1173024405937840083_238659726,FriJan29,29,1454055427,00
#526666,1173024696013047029_378651936,FriJan29,29,1454055462,00
#1D1111,1173024694110722606_215893781,FriJan29,29,1454055462,00
#A5B9B9,1173024814753480688_23501630,FriJan29,29,1454055476,00
#7D7C7C,1173024831228270939_3261205,FriJan29,29,1454055478,00
#281B1B,1173024929335679536_215893781,FriJan29,29,1454055490,00
#395D5D,1173025214858717890_7668769,FriJan29,29,1454055524,00
#501B1B,1173025615540591164_215893781,FriJan29,29,1454055571,00
#9B7E7E,1173025651222082613_242670220,FriJan29,29,1454055576,00
#8A8484,1173026266804896839_1460671776,FriJan29,29,1454055649,00
#CEBEBE,1173026652338746786_1112103548,FriJan29,29,1454055695,00
#505050,1173026759486287819_5383402,FriJan29,29,1454055708,00
#7A5A5A,1173026982246097570_1507868719,FriJan29,29,1454055734,00
#C49292,1173027021435534359_23501630,FriJan29,29,1454055739,00
#626464,1173027154329288059_3893022,FriJan29,29,1454055755,00
#683C3C,1173027176257963527_449238856,FriJan29,29,1454055758,00
#887F7F,1173027216629134322_23920731,FriJan29,29,1454055762,00
#292121,1173027242519501398_215893781,FriJan29,29,1454055765,00
#765151,1173027293722114220_280937365,FriJan29,29,1454055772,00
#814747,1173027385224028090_1386366,FriJan29,29,1454055782,00
#616363,1173027687154927877_977316105,FriJan29,29,1454055818,00
#8C6D6D,1173027782947155308_307683754,FriJan29,29,1454055830,00
#C08B8B,1173027817799646251_2299106630,FriJan29,29,1454055834,00
#281B1B,1173027901317959911_838852931,FriJan29,29,1454055844,00
#A66464,1173027988702849787_422138673,FriJan29,29,1454055854,00
#464D4D,1173028178190710644_1248686324,FriJan29,29,1454055877,00
#131919,1173028273411867626_292958343,FriJan29,29,1454055888,00
#566363,1173028348513268513_36216579,FriJan29,29,1454055897,00
#997171,1173028424196921469_581333173,FriJan29,29,1454055906,00
#4B2C2C,1173028985065231887_39065820,FriJan29,29,1454055973,00
#8F4949,1173030600235644108_1372588420,FriJan29,29,1454056166,00
#655050,1173031219616048833_336687584,FriJan29,29,1454056239,00
