colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#5D3F3F,1154171615934908622_55537273,SunJan3,3,1451808000,00
#383535,1154171653380673154_8896314,SunJan3,3,1451808004,00
#231616,1154171677807715381_226720744,SunJan3,3,1451808007,00
#715F5F,1154171819914734792_29499650,SunJan3,3,1451808024,00
#B65959,1154171860462243672_208221698,SunJan3,3,1451808029,00
#6B6969,1154171947845256841_1321375608,SunJan3,3,1451808039,00
#A97878,1154172029617104180_2368015312,SunJan3,3,1451808049,00
#697070,1154172206920662096_207547206,SunJan3,3,1451808070,00
#563C3C,1154172216047793653_218422524,SunJan3,3,1451808071,00
#6B3434,1154172324847042058_336301550,SunJan3,3,1451808084,00
#757474,1154172348051808510_28778383,SunJan3,3,1451808087,00
#8B5555,1154172383149624113_1288458265,SunJan3,3,1451808091,00
#8F7D7D,1154172438313054536_581883211,SunJan3,3,1451808098,00
#548484,1154172847868955425_16237129,SunJan3,3,1451808146,00
#475252,1154172870017094483_254934291,SunJan3,3,1451808149,00
#744D4D,1154172928083416680_1790809660,SunJan3,3,1451808156,00
#656565,1154173159984052138_1558032284,SunJan3,3,1451808184,00
#237272,1154173401792948618_350336193,SunJan3,3,1451808212,00
#764848,1154173468129860269_6405997,SunJan3,3,1451808220,00
#554343,1154173994585313641_212749115,SunJan3,3,1451808283,00
#6E7777,1154174129465508539_2062963887,SunJan3,3,1451808299,00
#ADB9B9,1154174226796517566_2282396925,SunJan3,3,1451808311,00
#A27070,1154174346217109455_1558032284,SunJan3,3,1451808325,00
#46D7D7,1154174770111295204_978306,SunJan3,3,1451808376,00
#7D6161,1154175389407550841_7687214,SunJan3,3,1451808449,00
#997979,1154175720412192742_10635806,SunJan3,3,1451808489,00
#AE8080,1154175869370116565_2307192185,SunJan3,3,1451808507,00
#584242,1154175979178243044_177578403,SunJan3,3,1451808520,00
#AD7D7D,1154176259339725273_2307192185,SunJan3,3,1451808553,00
#131313,1154176290065129986_14025167,SunJan3,3,1451808557,00
#6A5858,1154176721491475477_2027950398,SunJan3,3,1451808608,00
#6E6E6E,1154176754393642361_713047396,SunJan3,3,1451808612,00
#6A8989,1154176848817580732_229109121,SunJan3,3,1451808623,00
#575D5D,1154176942667445267_1558032284,SunJan3,3,1451808635,00
#893C3C,1154177027554057129_1265929517,SunJan3,3,1451808645,00
#8BA6A6,1154177263118508151_256755183,SunJan3,3,1451808673,00
#C38282,1154177565789077882_654841359,SunJan3,3,1451808709,00
#341E1E,1154177583756600288_1743690503,SunJan3,3,1451808711,00
#441D1D,1154177592610018845_2190403860,SunJan3,3,1451808712,00
#503636,1154177780314002442_1559759340,SunJan3,3,1451808734,00
#387E7E,1154178035996325737_399696948,SunJan3,3,1451808765,00
#976E6E,1154178298058636724_1575589094,SunJan3,3,1451808796,00
#622D2D,1154178326244793286_1265929517,SunJan3,3,1451808799,00
#7A2D2D,1154178780403723736_1154799218,SunJan3,3,1451808854,00
#252020,1154179250045258578_13071217,SunJan3,3,1451808910,00
#AE9595,1154179428361567078_53095893,SunJan3,3,1451808931,00
#A66D6D,1154179695531465583_234556989,SunJan3,3,1451808963,00
#180D0D,1154179701981362336_544391069,SunJan3,3,1451808964,00
#732F2F,1154179745385907945_220132912,SunJan3,3,1451808969,00
#7B6161,1154179797361315481_1904067514,SunJan3,3,1451808975,00
#975454,1154179827998784131_320804733,SunJan3,3,1451808978,00
#578888,1154179935513728012_40157932,SunJan3,3,1451808991,00
#715A5A,1154180157576922595_26792896,SunJan3,3,1451809018,00
#5C4242,1154180218677981278_182186371,SunJan3,3,1451809025,00
#675B5B,1154180569399331090_2073361,SunJan3,3,1451809067,00
#713030,1154181023609654866_246919098,SunJan3,3,1451809121,00
