colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#0D3030,1163593722226062201_1623577603,SatJan16,16,1452931202,00
#AF8585,1163593854247621592_403039211,SatJan16,16,1452931218,00
#8C4E4E,1163594079060510022_2299027448,SatJan16,16,1452931245,00
#433A3A,1163594133420208631_356758931,SatJan16,16,1452931251,00
#757575,1163594157653462414_25577530,SatJan16,16,1452931254,00
#5F3939,1163594275312248964_25542697,SatJan16,16,1452931268,00
#7B4343,1163594338915827623_1381863822,SatJan16,16,1452931276,00
#9E9B9B,1163594535459718131_1621547655,SatJan16,16,1452931299,00
#5C3B3B,1163594539781775329_1558319534,SatJan16,16,1452931300,00
#A29B9B,1163594644115330693_1771650676,SatJan16,16,1452931312,00
#6E6D6D,1163594847474966941_417558607,SatJan16,16,1452931336,00
#611818,1163594898030259416_21915826,SatJan16,16,1452931342,00
#6C6969,1163595035026451098_1553047617,SatJan16,16,1452931359,00
#AE7E7E,1163595201197469209_1960173674,SatJan16,16,1452931378,00
#984444,1163595284193380437_2535837721,SatJan16,16,1452931388,00
#762828,1163595670965188559_656676020,SatJan16,16,1452931434,00
#764949,1163595723630610522_2535837721,SatJan16,16,1452931441,00
#735858,1163595754700074221_21915826,SatJan16,16,1452931444,00
#402A2A,1163595753248732324_2528215716,SatJan16,16,1452931444,00
#5B3131,1163596019053919961_104764382,SatJan16,16,1452931476,00
#624E4E,1163596233932668236_438240638,SatJan16,16,1452931502,00
#695555,1163596301120953122_507059469,SatJan16,16,1452931509,00
#562E2E,1163596364680933722_176888979,SatJan16,16,1452931517,00
#927A7A,1163596383988574855_16836113,SatJan16,16,1452931519,00
#806666,1163596628560249937_17012880,SatJan16,16,1452931549,00
#084949,1163596966847444062_287682684,SatJan16,16,1452931589,00
#F3F3F3,1163597001936830828_186862527,SatJan16,16,1452931593,00
#926868,1163597027901472493_104764382,SatJan16,16,1452931596,00
#4A4C4C,1163597046796774506_779505250,SatJan16,16,1452931598,00
#060909,1163597065582474863_6323772,SatJan16,16,1452931601,00
#133C3C,1163597290355649866_23459186,SatJan16,16,1452931628,00
#B27C7C,1163597370266333754_192609971,SatJan16,16,1452931637,00
#414040,1163597374911299874_44167703,SatJan16,16,1452931638,00
#5A5D5D,1163597461608455555_52833574,SatJan16,16,1452931648,00
#66A3A3,1163597562725584004_188414402,SatJan16,16,1452931660,00
#504747,1163597597542583416_318490386,SatJan16,16,1452931664,00
#AA8383,1163597659881696852_1960173674,SatJan16,16,1452931672,00
#A36D6D,1163597744168539401_14386828,SatJan16,16,1452931682,00
#592828,1163598014150244658_12514509,SatJan16,16,1452931714,00
#ABA5A5,1163598232916646448_1616149405,SatJan16,16,1452931740,00
#B1A5A5,1163598347739098482_73610,SatJan16,16,1452931754,00
#786E6E,1163598395094055476_504054845,SatJan16,16,1452931759,00
#7EADAD,1163598494968371766_1616149405,SatJan16,16,1452931771,00
#9B7777,1163598675923062627_177510146,SatJan16,16,1452931793,00
#615C5C,1163598758007859342_248392361,SatJan16,16,1452931802,00
#171919,1163598805459968956_14025167,SatJan16,16,1452931808,00
#C4ABAB,1163599336024455695_22076933,SatJan16,16,1452931871,00
#7E5D5D,1163599508814250176_1517753151,SatJan16,16,1452931892,00
#362323,1163599519418377948_356999056,SatJan16,16,1452931893,00
#E3D3D3,1163599695593398998_589076591,SatJan16,16,1452931914,00
#474747,1163599712346587461_44167703,SatJan16,16,1452931916,00
#A08181,1163599871067259298_186862527,SatJan16,16,1452931935,00
#A04D4D,1163600025600288998_31035665,SatJan16,16,1452931954,00
#676969,1163600225461018702_225487759,SatJan16,16,1452931977,00
#817373,1163600218043356911_1771650676,SatJan16,16,1452931977,00
#295F5F,1163600504492416027_517643862,SatJan16,16,1452932011,00
#663D3D,1163600666946181285_198403845,SatJan16,16,1452932030,00
#8FACAC,1163600825068212526_4345691,SatJan16,16,1452932049,00
#BD8585,1163601069708242608_1960173674,SatJan16,16,1452932078,00
#675F5F,1163601139288636815_438240638,SatJan16,16,1452932086,00
#7C5A5A,1163601291214318785_779505250,SatJan16,16,1452932104,00
#5C5353,1163601481459519599_13735211,SatJan16,16,1452932127,00
#B78F8F,1163601495906862536_7447320,SatJan16,16,1452932129,00
#DACDCD,1163601677975345790_1616149405,SatJan16,16,1452932151,00
#6D4A4A,1163601865199713040_1015248453,SatJan16,16,1452932173,00
#988282,1163601864930858172_832053044,SatJan16,16,1452932173,00
#6B6A6A,1163601958597829411_11042823,SatJan16,16,1452932184,00
#914141,1163602001867249307_278728780,SatJan16,16,1452932189,00
#B08282,1163602058105117316_1616149405,SatJan16,16,1452932196,00
#A26565,1163602926582245230_1305648,SatJan16,16,1452932299,00
#68DFDF,1163603046518020759_1616149405,SatJan16,16,1452932314,00
#682828,1163603340931769563_18098208,SatJan16,16,1452932349,00
#241B1B,1163603374435234009_1633382587,SatJan16,16,1452932353,00
#928C8C,1163603568885375740_1572959743,SatJan16,16,1452932376,00
#3E3838,1163603720422737079_19856968,SatJan16,16,1452932394,00
#A1A3A3,1163603805205942418_1463956523,SatJan16,16,1452932404,00
#794646,1163603883617381206_1355394569,SatJan16,16,1452932413,00
#5F3737,1163604185790508941_1291948290,SatJan16,16,1452932449,00
#A47F7F,1163604350853936524_966854060,SatJan16,16,1452932469,00
#5F6A6A,1163604599341721084_195744488,SatJan16,16,1452932499,00
#AD7A7A,1163604863697692898_49056929,SatJan16,16,1452932530,00
#3A7E7E,1163604914440690207_380482229,SatJan16,16,1452932536,00
#4B6262,1163604990272879362_202161421,SatJan16,16,1452932545,00
#542C2C,1163605117186716341_301163947,SatJan16,16,1452932561,00
#954D4D,1163605157385562977_1355394569,SatJan16,16,1452932565,00
#6D6D6D,1163605393638139070_22595488,SatJan16,16,1452932594,00
#392C2C,1163605649071520856_5240750,SatJan16,16,1452932624,00
#8E9191,1163606113452298166_6074866,SatJan16,16,1452932679,00
#B06666,1163606216176981152_2264432708,SatJan16,16,1452932692,00
#9A7878,1163606263891169176_409172498,SatJan16,16,1452932697,00
#623030,1163606927406955659_427014510,SatJan16,16,1452932776,00
#542C2C,1163607193274921686_301163947,SatJan16,16,1452932808,00
#996F6F,1163607287973215370_20693262,SatJan16,16,1452932819,00
#905C5C,1163607380037272660_1804797368,SatJan16,16,1452932830,00
#308484,1163607408208389671_195744488,SatJan16,16,1452932834,00
#91C1C1,1163607808559217968_451450702,SatJan16,16,1452932881,00
#191C1C,1163607921311628856_14761806,SatJan16,16,1452932895,00
#AC8686,1163608032972829229_2270642235,SatJan16,16,1452932908,00
#B26464,1163608103371842286_32554007,SatJan16,16,1452932916,00
#A89D9D,1163608298290094447_221709551,SatJan16,16,1452932940,00
#C3C1C1,1163608487776171245_2277405460,SatJan16,16,1452932962,00
#D1D3D3,1163608508581497757_3512001,SatJan16,16,1452932965,00
#9FA4A4,1163608691570449349_939931861,SatJan16,16,1452932987,00
#A24F4F,1163608870877862602_1811667757,SatJan16,16,1452933008,00
#6B6B6B,1163609136838393012_32382478,SatJan16,16,1452933040,00
#8F7575,1163609183808183054_1616149405,SatJan16,16,1452933045,00
#292E2E,1163609349010965298_13411999,SatJan16,16,1452933065,00
#4A3535,1163609392129291984_454672860,SatJan16,16,1452933070,00
#605656,1163609479456087197_1283929214,SatJan16,16,1452933081,00
#3D2424,1163609512033242685_28245114,SatJan16,16,1452933084,00
#D6C7C7,1163609510787734297_1616149405,SatJan16,16,1452933084,00
