colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#546363,1174465369140103047_2176611536,SunJan31,31,1454227203,00
#ACA8A8,1174465451560169285_2137478482,SunJan31,31,1454227213,00
#6B3434,1174465462824925338_2250967365,SunJan31,31,1454227215,00
#4B3E3E,1174465565628114803_177763144,SunJan31,31,1454227227,00
#803A3A,1174465617924150379_361059564,SunJan31,31,1454227233,00
#704141,1174465676122308807_1537167607,SunJan31,31,1454227240,00
#AC6B6B,1174465818586480461_1364788038,SunJan31,31,1454227257,00
#843F3F,1174465855992097118_18658833,SunJan31,31,1454227261,00
#092A2A,1174465940135102016_1974050784,SunJan31,31,1454227272,00
#834E4E,1174465957701367222_52596292,SunJan31,31,1454227274,00
#ACA8A8,1174466018165612273_1561815470,SunJan31,31,1454227281,00
#834545,1174466046074097317_13660066,SunJan31,31,1454227284,00
#616161,1174466151605938049_177763144,SunJan31,31,1454227297,00
#855F5F,1174466809614827150_1424676278,SunJan31,31,1454227375,00
#7A6161,1174466929875822485_177763144,SunJan31,31,1454227390,00
#673737,1174467013704347059_262649282,SunJan31,31,1454227400,00
#150D0D,1174467147926541231_1496950451,SunJan31,31,1454227415,00
#E1C7C7,1174467450664004104_324481417,SunJan31,31,1454227452,00
#843838,1174467739559229792_431456373,SunJan31,31,1454227486,00
#7F6666,1174467874475026343_177763144,SunJan31,31,1454227502,00
#3E2525,1174467903867972074_335782425,SunJan31,31,1454227506,00
#746666,1174468029470050304_3561889,SunJan31,31,1454227521,00
#7A7A7A,1174468214420244758_263690097,SunJan31,31,1454227543,00
#8C7474,1174468227903930374_226763215,SunJan31,31,1454227544,00
#976565,1174468561678182320_177763144,SunJan31,31,1454227584,00
#544242,1174468742032581833_1288142488,SunJan31,31,1454227606,00
#9C6767,1174469031708665789_177763144,SunJan31,31,1454227640,00
#A99292,1174469208671619369_263690097,SunJan31,31,1454227661,00
#7FA0A0,1174469335500405095_227506485,SunJan31,31,1454227676,00
#247373,1174469453488608226_2874293859,SunJan31,31,1454227690,00
#873F3F,1174469487995794346_70395,SunJan31,31,1454227694,00
#1A1E1E,1174469555006640607_20442979,SunJan31,31,1454227702,00
#852222,1174469551308746953_529064427,SunJan31,31,1454227702,00
#B44C4C,1174469651392346964_281118565,SunJan31,31,1454227714,00
#2A2727,1174469901155834924_2305514614,SunJan31,31,1454227744,00
#AC7676,1174469954966322848_2275847238,SunJan31,31,1454227750,00
