colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#7D8282,1170841569113116583_568584066,TueJan26,26,1453795213,00
#7E7878,1170841751161613936_1288913018,TueJan26,26,1453795235,00
#593C3C,1170841836749374688_5231840,TueJan26,26,1453795245,00
#3B3030,1170841924849403542_259384640,TueJan26,26,1453795255,00
#A87171,1170842162967115710_230798356,TueJan26,26,1453795284,00
#674B4B,1170842273882621475_302114656,TueJan26,26,1453795297,00
#370707,1170842360818631065_145111215,TueJan26,26,1453795307,00
#AE7C7C,1170842420303375750_346972314,TueJan26,26,1453795314,00
#AD3232,1170842432376372634_1223189062,TueJan26,26,1453795316,00
#822626,1170842806877392824_568584066,TueJan26,26,1453795360,00
#9EAFAF,1170842813626287507_287470224,TueJan26,26,1453795361,00
#452525,1170843158064046224_190576703,TueJan26,26,1453795402,00
#894242,1170843769200998362_230798356,TueJan26,26,1453795475,00
#968F8F,1170844020751596682_263179734,TueJan26,26,1453795505,00
#5F7C7C,1170844462996327329_389192113,TueJan26,26,1453795558,00
#7C7878,1170844768939858298_1178689661,TueJan26,26,1453795594,00
#AB3F3F,1170845075161611086_195535381,TueJan26,26,1453795631,00
#543333,1170845446805884892_568584066,TueJan26,26,1453795675,00
#736B6B,1170845480433046039_1233181363,TueJan26,26,1453795679,00
#583A3A,1170845534131076093_1518853,TueJan26,26,1453795686,00
#402F2F,1170845751929738105_1282435771,TueJan26,26,1453795711,00
#B45151,1170845749194652505_195535381,TueJan26,26,1453795711,00
#907373,1170846311696367614_470113902,TueJan26,26,1453795778,00
#808484,1170846415346534722_303354417,TueJan26,26,1453795791,00
#7B5959,1170846462860019530_271844816,TueJan26,26,1453795796,00
#4B7171,1170846523064945108_405309705,TueJan26,26,1453795803,00
#7E2D2D,1170846638967222450_31246659,TueJan26,26,1453795817,00
#775E5E,1170846843582505919_107007,TueJan26,26,1453795842,00
#3E1C1C,1170846862983691119_195535381,TueJan26,26,1453795844,00
#3D3838,1170847058887303810_16994727,TueJan26,26,1453795867,00
#959595,1170847144070853443_5057027,TueJan26,26,1453795877,00
#406565,1170847157217050980_2125963247,TueJan26,26,1453795879,00
#775151,1170847231497267109_682360,TueJan26,26,1453795888,00
#744F4F,1170847610426934591_5231840,TueJan26,26,1453795933,00
#352F2F,1170847885079977856_1798430,TueJan26,26,1453795966,00
#AD9D9D,1170848364724631467_228699236,TueJan26,26,1453796023,00
#617A7A,1170848723619926287_359601395,TueJan26,26,1453796066,00
#363838,1170848868225496179_518299076,TueJan26,26,1453796083,00
#494949,1170849312511516133_1977079246,TueJan26,26,1453796136,00
#757575,1170849472363037212_575692495,TueJan26,26,1453796155,00
#8B7F7F,1170849595354316468_2471600062,TueJan26,26,1453796170,00
#634A4A,1170849594543372564_371552749,TueJan26,26,1453796170,00
#2C1A1A,1170849710643978894_1578739967,TueJan26,26,1453796183,00
#D4CACA,1170849914713553947_23049878,TueJan26,26,1453796208,00
#684141,1170849923123993071_229441621,TueJan26,26,1453796209,00
#9A6464,1170850435802493805_813521947,TueJan26,26,1453796270,00
#7C4F4F,1170851079193075464_22548046,TueJan26,26,1453796346,00
#7C6B6B,1170851172648666685_1330011200,TueJan26,26,1453796358,00
#3D3737,1170852081831682324_190576703,TueJan26,26,1453796466,00
#6E9A9A,1170852246934565239_1089220043,TueJan26,26,1453796486,00
#1F2121,1170852458833398541_299132577,TueJan26,26,1453796511,00
#7B3E3E,1170852540128153444_1381143314,TueJan26,26,1453796521,00
#864C4C,1170852569100232355_372776192,TueJan26,26,1453796524,00
#B45757,1170852724435129232_321374163,TueJan26,26,1453796543,00
#899797,1170852785763616012_324438552,TueJan26,26,1453796550,00
#1D1818,1170852888676379302_575624841,TueJan26,26,1453796562,00
#7D4242,1170853012792659818_1381143314,TueJan26,26,1453796577,00
#B29A9A,1170853061556422946_7974081,TueJan26,26,1453796583,00
#835757,1170853086269905696_2460549709,TueJan26,26,1453796586,00
#783B3B,1170853582379143029_1381143314,TueJan26,26,1453796645,00
#A66161,1170853788336302368_328058369,TueJan26,26,1453796669,00
#6B5050,1170853896633329173_1954528464,TueJan26,26,1453796682,00
#566E6E,1170853928133007966_1579873909,TueJan26,26,1453796686,00
#4F6363,1170854006885035848_1434288690,TueJan26,26,1453796696,00
#7E7777,1170854076275416902_18383510,TueJan26,26,1453796704,00
#3F4C4C,1170854263306311213_1723862036,TueJan26,26,1453796726,00
#854545,1170854364163854208_1381143314,TueJan26,26,1453796738,00
#728383,1170854684446074063_54870168,TueJan26,26,1453796776,00
#6A5B5B,1170854809790109495_9691588,TueJan26,26,1453796791,00
#A39E9E,1170854805159805516_34531791,TueJan26,26,1453796791,00
#8D6262,1170854815007288138_629991065,TueJan26,26,1453796792,00
#687070,1170855064293655309_893423119,TueJan26,26,1453796822,00
#986565,1170855533937204781_1768692086,TueJan26,26,1453796878,00
#937C7C,1170855720263534416_19395688,TueJan26,26,1453796900,00
#8B9595,1170856257431506064_568584066,TueJan26,26,1453796964,00
#463636,1170856256228523625_1090160734,TueJan26,26,1453796964,00
#374F4F,1170856403139324487_1436696817,TueJan26,26,1453796981,00
#151E1E,1170856493174699087_252052252,TueJan26,26,1453796992,00
#6C8D8D,1170856534824329718_328482439,TueJan26,26,1453796997,00
#9F9B9B,1170857553284590174_1436696817,TueJan26,26,1453797118,00
#887979,1170858096456005684_40912461,TueJan26,26,1453797183,00
#6E7171,1170858221856007964_233281192,TueJan26,26,1453797198,00
#7F7A7A,1170858284303748273_568584066,TueJan26,26,1453797205,00
#A48B8B,1170858491678609930_1902619147,TueJan26,26,1453797230,00
#A38A8A,1170858814126591917_1606197466,TueJan26,26,1453797269,00
#9C6E6E,1170859319414319131_2512393,TueJan26,26,1453797329,00
#526B6B,1170859541613481156_568584066,TueJan26,26,1453797355,00
#525252,1170859857449268988_588155460,TueJan26,26,1453797393,00
#BC8B8B,1170859876793885141_192320935,TueJan26,26,1453797395,00
#8C7B7B,1170859974336477121_1988360796,TueJan26,26,1453797407,00
#884848,1170860143143162831_498788459,TueJan26,26,1453797427,00
#A35151,1170860415447299211_2274339956,TueJan26,26,1453797459,00
#382B2B,1170860528734783673_284729305,TueJan26,26,1453797473,00
#262626,1170860557571054200_22200629,TueJan26,26,1453797476,00
#473F3F,1170860595773740105_516686572,TueJan26,26,1453797481,00
#AD9D9D,1170860639950703832_568584066,TueJan26,26,1453797486,00
#978585,1170860913704500623_273269030,TueJan26,26,1453797519,00
#855353,1170861174066865780_341225856,TueJan26,26,1453797550,00
#9C9999,1170861417757614734_1453092503,TueJan26,26,1453797579,00
#553F3F,1170861620081600924_26196673,TueJan26,26,1453797603,00
#844444,1170862139557823022_9464879,TueJan26,26,1453797665,00
#DBC5C5,1170862313486737120_918579406,TueJan26,26,1453797686,00
#544141,1170862352800851818_372776192,TueJan26,26,1453797690,00
#586363,1170862378764425050_2278377004,TueJan26,26,1453797694,00
#A07878,1170862534827641795_368258521,TueJan26,26,1453797712,00
#A06060,1170862749182927788_281989679,TueJan26,26,1453797738,00
#B6BEBE,1170862776319625178_1417579240,TueJan26,26,1453797741,00
#7A6B6B,1170862846243642757_14550902,TueJan26,26,1453797749,00
#9D7B7B,1170862978836498537_2073361,TueJan26,26,1453797765,00
#725A5A,1170863063742684920_865100134,TueJan26,26,1453797775,00
#634D4D,1170863233723369130_316937400,TueJan26,26,1453797795,00
#996E6E,1170863806757275803_280462113,TueJan26,26,1453797864,00
#C68181,1170864352051082794_1218232828,TueJan26,26,1453797929,00
#796767,1170864416502108782_1902619147,TueJan26,26,1453797936,00
#372D2D,1170865042325529994_645093864,TueJan26,26,1453798011,00
#3E4040,1170865456672989769_241144407,TueJan26,26,1453798060,00
#C9A5A5,1170865513270754498_204524238,TueJan26,26,1453798067,00
#6A4747,1170865627856569012_2015421727,TueJan26,26,1453798081,00
#996161,1170865821242372651_1745729875,TueJan26,26,1453798104,00
#795353,1170866072378145656_1413397557,TueJan26,26,1453798134,00
#5D4545,1170866168535884251_2237901703,TueJan26,26,1453798145,00
#7C6767,1170866436476739757_25167023,TueJan26,26,1453798177,00
#935454,1170866537339749122_1268900447,TueJan26,26,1453798189,00
#795151,1170866581086275895_241130385,TueJan26,26,1453798194,00
#6D3F3F,1170867503229240086_1268900447,TueJan26,26,1453798304,00
#686767,1170867764167922735_247948028,TueJan26,26,1453798336,00
#5E6161,1170868427087121758_568584066,TueJan26,26,1453798415,00
#7E6767,1170869923948931836_25542697,TueJan26,26,1453798593,00
#714C4C,1170869922201841530_629890490,TueJan26,26,1453798593,00
#757171,1170869945808666241_16196742,TueJan26,26,1453798596,00
#858888,1170870121158698477_10044632,TueJan26,26,1453798616,00
#302727,1170870232927376554_17823524,TueJan26,26,1453798630,00
#251818,1170870463721943872_653082347,TueJan26,26,1453798657,00
#5E5E5E,1170870754851208885_190059910,TueJan26,26,1453798692,00
#352B2B,1170871013048707924_2076031145,TueJan26,26,1453798723,00
#823A3A,1170871230933741455_629890490,TueJan26,26,1453798749,00
#9DADAD,1170871377929505463_780532625,TueJan26,26,1453798766,00
#7ABDBD,1170871423999563463_225377452,TueJan26,26,1453798772,00
#473A3A,1170871970375434345_14728103,TueJan26,26,1453798837,01
#828080,1170872041117567530_7974081,TueJan26,26,1453798845,01
#605353,1170872400903972295_1564198112,TueJan26,26,1453798888,01
#A37272,1170872712043425126_581835762,TueJan26,26,1453798925,01
#6A6868,1170872742429283446_247948028,TueJan26,26,1453798929,01
#683E3E,1170872746730230902_2807725676,TueJan26,26,1453798930,01
#BCA6A6,1170872892930378295_7974081,TueJan26,26,1453798947,01
#B09A9A,1170873257868487518_1701954185,TueJan26,26,1453798990,01
#2C1C1C,1170873412618015129_10220755,TueJan26,26,1453799009,01
#D8D8D8,1170873562162528233_309646534,TueJan26,26,1453799027,01
#9BB4B4,1170873663708405940_758198271,TueJan26,26,1453799039,01
#949C9C,1170873838267779654_7974081,TueJan26,26,1453799060,01
#8FA7A7,1170873991300449184_707678391,TueJan26,26,1453799078,01
#4B6868,1170875133702678867_609223049,TueJan26,26,1453799214,01
#847D7D,1170875238141320331_18383510,TueJan26,26,1453799226,01
