colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#8B6C6C,1168667233384344334_1653050201,SatJan23,23,1453536012,00
#A79C9C,1168667307743607399_379292781,SatJan23,23,1453536021,00
#493737,1168667499104580039_231982827,SatJan23,23,1453536043,00
#784949,1168667748842352790_30763339,SatJan23,23,1453536073,00
#737F7F,1168667765314983642_211915804,SatJan23,23,1453536075,00
#8E5353,1168667847669231310_205694010,SatJan23,23,1453536085,00
#7D6B6B,1168667940322360330_474942,SatJan23,23,1453536096,00
#113D3D,1168668388850195765_13937358,SatJan23,23,1453536150,00
#9C7F7F,1168668724185893149_16638425,SatJan23,23,1453536189,00
#5B4242,1168668788640680411_254660225,SatJan23,23,1453536197,00
#C27676,1168668783364874370_2042600839,SatJan23,23,1453536197,00
#DBD5D5,1168668794709677568_2321849164,SatJan23,23,1453536198,00
#923A3A,1168668933154057336_291577986,SatJan23,23,1453536214,00
#693939,1168669469311592763_51297649,SatJan23,23,1453536278,00
#604747,1168669551157177180_2636725633,SatJan23,23,1453536288,00
#A93D3D,1168669693438495074_2535837721,SatJan23,23,1453536305,00
#068585,1168669704621808790_322808990,SatJan23,23,1453536306,00
#686A6A,1168669718228391793_343499244,SatJan23,23,1453536308,00
#B78C8C,1168669891462273127_970729965,SatJan23,23,1453536329,00
#483A3A,1168669910031016060_1340221415,SatJan23,23,1453536331,00
#884F4F,1168669918599008636_313169563,SatJan23,23,1453536332,00
#A35F5F,1168670057160420511_1478577986,SatJan23,23,1453536348,00
#403838,1168670156378574262_327025738,SatJan23,23,1453536360,00
#704848,1168670221920799085_2535837721,SatJan23,23,1453536368,00
#706565,1168670551954196660_905748105,SatJan23,23,1453536407,00
#8A3E3E,1168670630286625146_2535837721,SatJan23,23,1453536417,00
#655252,1168670726284252420_2222191156,SatJan23,23,1453536428,00
#5D4646,1168670742274984859_243068153,SatJan23,23,1453536430,00
#473F3F,1168670797790349693_2535837721,SatJan23,23,1453536437,00
#435B5B,1168670927471678903_756314516,SatJan23,23,1453536452,00
#764949,1168670988354357633_2535837721,SatJan23,23,1453536459,00
