colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#806767,1160694870802364318_2130434796,TueJan12,12,1452585632,00
#3A5D5D,1160695102570792094_456974384,TueJan12,12,1452585660,00
#885454,1160695556945035428_654841359,TueJan12,12,1452585714,00
#838080,1160696250858143859_2480447,TueJan12,12,1452585797,00
#6D5C5C,1160696266085917580_2839,TueJan12,12,1452585798,00
#909696,1160696311620863151_456974384,TueJan12,12,1452585804,00
#812E2E,1160696335525645532_201446698,TueJan12,12,1452585807,00
#455B5B,1160696433421785339_1811667757,TueJan12,12,1452585818,00
#5E3333,1160696464928529174_181261909,TueJan12,12,1452585822,00
#757474,1160696908803357215_593246933,TueJan12,12,1452585875,00
#8A8D8D,1160696983674193079_456974384,TueJan12,12,1452585884,00
#82A5A5,1160697002319774012_1691732143,TueJan12,12,1452585886,00
#ACA5A5,1160697171677861830_5432612,TueJan12,12,1452585906,00
#421D1D,1160697997165187967_538605627,TueJan12,12,1452586005,00
#593636,1160698045494139158_1811667757,TueJan12,12,1452586011,00
#998C8C,1160698053221713089_456974384,TueJan12,12,1452586012,00
#9B7D7D,1160698063959116781_40779369,TueJan12,12,1452586013,00
#7E8888,1160698619853740320_1811667757,TueJan12,12,1452586079,00
#4D4F4F,1160698681761059224_1467987163,TueJan12,12,1452586086,00
#558888,1160698760547836544_2312053111,TueJan12,12,1452586096,00
#7A6C6C,1160698943241269386_1504601099,TueJan12,12,1452586118,00
#A29898,1160699249712596877_1138027976,TueJan12,12,1452586154,00
#886060,1160699646114681642_2248836427,TueJan12,12,1452586201,00
#6F4F4F,1160699900800480512_222760716,TueJan12,12,1452586232,00
#877676,1160700179608189178_2083804557,TueJan12,12,1452586265,00
#545656,1160700558167447882_1811667757,TueJan12,12,1452586310,00
#A48585,1160700795448525438_1443043647,TueJan12,12,1452586338,00
#5D6666,1160700910447882558_1705873579,TueJan12,12,1452586352,00
#8E6565,1160701371502220460_1132678252,TueJan12,12,1452586407,00
#495454,1160701490223537350_269250662,TueJan12,12,1452586421,00
#585F5F,1160701732918343948_2083804557,TueJan12,12,1452586450,00
#966262,1160702043312615765_1705873579,TueJan12,12,1452586487,00
#594040,1160702197066582746_1909427769,TueJan12,12,1452586505,00
#5F4949,1160702339328783241_281837571,TueJan12,12,1452586522,00
#A08484,1160702379487156095_10984628,TueJan12,12,1452586527,00
#645353,1160702929930569768_40779369,TueJan12,12,1452586593,00
#B0A8A8,1160702990417158482_23190791,TueJan12,12,1452586600,00
#531C1C,1160703233971276747_602305081,TueJan12,12,1452586629,00
#816C6C,1160703272133604245_281837571,TueJan12,12,1452586634,00
#3F3D3D,1160703373501711500_1023882736,TueJan12,12,1452586646,00
#515353,1160703537606255138_1483635983,TueJan12,12,1452586665,00
#543434,1160703680500757605_1097813868,TueJan12,12,1452586682,00
#5B6363,1160703851257182252_1629031837,TueJan12,12,1452586703,00
#9A8A8A,1160704507112237428_1979501961,TueJan12,12,1452586781,00
#464040,1160704535692190453_220151927,TueJan12,12,1452586784,00
#595959,1160704878988538708_247502859,TueJan12,12,1452586825,00
#887F7F,1160705368227067058_3426036,TueJan12,12,1452586884,00
#C76A6A,1160705645003079412_20693262,TueJan12,12,1452586917,00
#826E6E,1160705700678594941_1705873579,TueJan12,12,1452586923,00
#372A2A,1160705873826454601_437362214,TueJan12,12,1452586944,00
#7C6A6A,1160705965960742992_40779369,TueJan12,12,1452586955,00
#566D6D,1160706391740953146_224959011,TueJan12,12,1452587006,00
#7C6565,1160706465602261198_882293635,TueJan12,12,1452587014,00
#47C6C6,1160706557840733381_3426036,TueJan12,12,1452587025,00
#604747,1160706974487793121_269682674,TueJan12,12,1452587075,00
#9A9494,1160706972130159963_208102250,TueJan12,12,1452587075,00
#BA6262,1160707203888718181_12325391,TueJan12,12,1452587102,00
#787070,1160707239458378387_2540422307,TueJan12,12,1452587107,00
#9B9090,1160707374739557183_20920449,TueJan12,12,1452587123,00
