colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#AA8F8F,1157795618423741681_1435562470,FriJan8,8,1452240014,00
#AEB2B2,1157795624162224875_231458129,FriJan8,8,1452240015,00
#676666,1157795676743410055_281844487,FriJan8,8,1452240021,00
#6A4646,1157795754157585287_11245299,FriJan8,8,1452240031,00
#356666,1157795882488657999_276527397,FriJan8,8,1452240046,00
#757575,1157796261738933265_444018674,FriJan8,8,1452240091,00
#913939,1157796659140684401_16038513,FriJan8,8,1452240138,00
#9E5F5F,1157796940927666362_145395449,FriJan8,8,1452240172,00
#604646,1157797276976695833_300226809,FriJan8,8,1452240212,00
#6F2C2C,1157797283773072254_7308375,FriJan8,8,1452240213,00
#562929,1157797489404074805_1616149405,FriJan8,8,1452240237,00
#878686,1157797600456366211_2242580021,FriJan8,8,1452240251,00
#291919,1157797808687070190_22220301,FriJan8,8,1452240275,00
#564B4B,1157797912550150074_1440143938,FriJan8,8,1452240288,00
#806C6C,1157798267067422997_925266909,FriJan8,8,1452240330,00
#513E3E,1157798306334263355_14321681,FriJan8,8,1452240335,00
#6D5454,1157798946704566046_55782408,FriJan8,8,1452240411,00
#3E4949,1157799101097226515_354222731,FriJan8,8,1452240430,00
#B6B5B5,1157799247965578123_50058319,FriJan8,8,1452240447,00
#101313,1157799295845986632_306406595,FriJan8,8,1452240453,00
#4B3E3E,1157799347754292378_2267501204,FriJan8,8,1452240459,00
#605858,1157799484932036159_240425068,FriJan8,8,1452240475,00
#5C5A5A,1157799484675517074_16038513,FriJan8,8,1452240475,00
#A38A8A,1157799482441805476_16231226,FriJan8,8,1452240475,00
#4C4242,1157799536550536438_52358384,FriJan8,8,1452240481,00
#A98989,1157799700513049103_266037193,FriJan8,8,1452240501,00
#482222,1157799770283032768_674079,FriJan8,8,1452240509,00
#2B2424,1157799778359908419_1811667757,FriJan8,8,1452240510,00
#251F1F,1157800465076985488_213083206,FriJan8,8,1452240592,00
#3A5555,1157800620527714532_43839607,FriJan8,8,1452240611,00
#170909,1157800766713028076_364426718,FriJan8,8,1452240628,00
#513C3C,1157800911333906845_782522965,FriJan8,8,1452240645,00
#6B5F5F,1157801020035299510_771239733,FriJan8,8,1452240658,00
#373838,1157801249586018439_1365726277,FriJan8,8,1452240686,00
#473434,1157801276261040491_330790543,FriJan8,8,1452240689,00
#938989,1157801378712316549_12071721,FriJan8,8,1452240701,00
#A46363,1157801461157236137_232068362,FriJan8,8,1452240711,00
#574040,1157801578544529777_330790543,FriJan8,8,1452240725,00
#423B3B,1157801783741265672_495238468,FriJan8,8,1452240749,00
#8D9191,1157801813042052996_313652862,FriJan8,8,1452240753,00
#552121,1157802068288887553_529496173,FriJan8,8,1452240783,00
#7EA5A5,1157802127113456140_8359737,FriJan8,8,1452240790,00
#784747,1157803050194827688_4788709,FriJan8,8,1452240900,00
#564141,1157803219483405878_24566834,FriJan8,8,1452240920,00
#6B8F8F,1157803593970614445_145534735,FriJan8,8,1452240965,00
#8A5A5A,1157803801058154634_1811667757,FriJan8,8,1452240990,00
#6C5C5C,1157803867141341606_330790543,FriJan8,8,1452240998,00
