colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#5F4141,1166492984171453776_353585406,WedJan20,20,1453276821,00
#6C7878,1166493526473269846_331553799,WedJan20,20,1453276886,00
#5B4848,1166493779842986106_441518995,WedJan20,20,1453276916,00
#434545,1166494276698775668_1607567,WedJan20,20,1453276975,00
#6E7575,1166494947030291276_213260467,WedJan20,20,1453277055,00
#545050,1166495267292717190_1607567,WedJan20,20,1453277093,00
#838585,1166495442537482233_35765960,WedJan20,20,1453277114,00
#948484,1166495729708226610_1616149405,WedJan20,20,1453277148,00
#833232,1166495831082917458_1324597806,WedJan20,20,1453277161,00
#7D7D7D,1166495885732303710_213260467,WedJan20,20,1453277167,00
#1F2E2E,1166496198723688506_1616149405,WedJan20,20,1453277204,00
#D8B9B9,1166496390924005675_279009923,WedJan20,20,1453277227,00
#717171,1166496782342755963_22912884,WedJan20,20,1453277274,00
#917A7A,1166496805184900735_2569777850,WedJan20,20,1453277277,00
#AE6B6B,1166496963099134963_19236569,WedJan20,20,1453277295,00
#877373,1166496968101196150_1682458963,WedJan20,20,1453277296,00
#222222,1166497145880657355_2225248662,WedJan20,20,1453277317,00
#815151,1166497162389285779_248073513,WedJan20,20,1453277319,00
#B58D8D,1166497484159162979_2057728173,WedJan20,20,1453277358,00
#443434,1166497531217588608_173626547,WedJan20,20,1453277363,00
#9F6565,1166497954743294576_2057728173,WedJan20,20,1453277414,00
#484646,1166497977090296440_267847929,WedJan20,20,1453277416,00
#414B4B,1166498270496196585_8520544,WedJan20,20,1453277451,00
#4D2929,1166498372561640079_22646765,WedJan20,20,1453277463,00
#896D6D,1166498405354150519_2057728173,WedJan20,20,1453277467,00
#B07373,1166498886122185271_1554748303,WedJan20,20,1453277525,00
#949494,1166499238386673729_2279924937,WedJan20,20,1453277567,00
#413B3B,1166499346481384635_568584066,WedJan20,20,1453277580,00
#976B6B,1166499383708284418_288807364,WedJan20,20,1453277584,00
#835D5D,1166499381301582467_2057728173,WedJan20,20,1453277584,00
#404040,1166499502123431878_11718884,WedJan20,20,1453277598,00
#321818,1166499738606215763_529388431,WedJan20,20,1453277626,00
#A67878,1166499768420698984_396884769,WedJan20,20,1453277630,00
