colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#3C5F5F,1172291275693702924_31405206,ThuJan28,28,1453968031,00
#BD6969,1172291408119425899_439263289,ThuJan28,28,1453968047,00
#473030,1172291413092187418_38941646,ThuJan28,28,1453968048,00
#8B4F4F,1172291426809312384_230798356,ThuJan28,28,1453968049,00
#675B5B,1172291484120871151_356758931,ThuJan28,28,1453968056,00
#9D7777,1172291902734385154_2009740815,ThuJan28,28,1453968106,00
#BEABAB,1172292213367221544_243883434,ThuJan28,28,1453968143,00
#6F6262,1172292759757983347_7477242,ThuJan28,28,1453968208,00
#0D0D0D,1172292754034739914_2106235081,ThuJan28,28,1453968208,00
#B49090,1172292886297960001_187355118,ThuJan28,28,1453968223,00
#948E8E,1172293234194068476_198273787,ThuJan28,28,1453968265,00
#716A6A,1172293633214266158_377558085,ThuJan28,28,1453968312,00
#995353,1172293920693813810_409794991,ThuJan28,28,1453968347,00
#5F5353,1172294017321318118_369504140,ThuJan28,28,1453968358,00
#3A3C3C,1172294053606815183_1315604,ThuJan28,28,1453968362,00
#6F5959,1172294084771266793_284836359,ThuJan28,28,1453968366,00
#384848,1172295302272391655_1205534997,ThuJan28,28,1453968511,00
#748585,1172295436044773950_308984265,ThuJan28,28,1453968527,00
#7E8888,1172295438360562280_2346434785,ThuJan28,28,1453968528,00
#7F3F3F,1172295558087406016_1449401115,ThuJan28,28,1453968542,00
#5D4040,1172295653955035061_176428670,ThuJan28,28,1453968553,00
#5A5252,1172295741498365527_217938492,ThuJan28,28,1453968564,00
#8B9494,1172296217375292257_377558085,ThuJan28,28,1453968620,00
#263030,1172296613080300054_1652915733,ThuJan28,28,1453968668,00
#692424,1172296962004318944_33680605,ThuJan28,28,1453968709,00
#4A9191,1172297115519014806_219928700,ThuJan28,28,1453968728,00
#7F7C7C,1172297269481046693_192956279,ThuJan28,28,1453968746,00
#7E6262,1172297300611646541_503681744,ThuJan28,28,1453968750,00
#595353,1172297474711206538_278154077,ThuJan28,28,1453968770,00
#705E5E,1172298038853567833_482479160,ThuJan28,28,1453968837,00
#412828,1172298134314536741_904822802,ThuJan28,28,1453968849,00
#459797,1172298434519155081_176964271,ThuJan28,28,1453968885,00
#352D2D,1172298475562304863_8682016,ThuJan28,28,1453968890,00
#876C6C,1172298687483232041_10456550,ThuJan28,28,1453968915,00
#371818,1172298777342149094_856695,ThuJan28,28,1453968926,00
#B19F9F,1172298787369086106_23459186,ThuJan28,28,1453968927,00
#3E1313,1172299121399370077_2859115195,ThuJan28,28,1453968967,00
#382020,1172299313292918688_205164238,ThuJan28,28,1453968989,00
#774242,1172299361163186420_29510803,ThuJan28,28,1453968995,00
#746262,1172299767593119607_285527634,ThuJan28,28,1453969044,00
