colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#8C5858,1167942366271132955_1518568604,FriJan22,22,1453449601,00
#151515,1167942711101823579_215893781,FriJan22,22,1453449642,00
#977575,1167943134810232103_1518568604,FriJan22,22,1453449693,00
#5A4444,1167943524368698067_926983505,FriJan22,22,1453449739,00
#321B1B,1167943590597305548_22369040,FriJan22,22,1453449747,00
#392A2A,1167944029053871472_12279824,FriJan22,22,1453449799,00
#2C2F2F,1167944086947280745_18430172,FriJan22,22,1453449806,00
#755151,1167944527544681056_1690847655,FriJan22,22,1453449859,00
#824747,1167944638175781157_1572959743,FriJan22,22,1453449872,00
#253434,1167944720887161922_641474456,FriJan22,22,1453449882,00
#A38686,1167944741787390730_2251595371,FriJan22,22,1453449884,00
#A95F5F,1167944934238860339_807600396,FriJan22,22,1453449907,00
#D1C7C7,1167945287963059869_226772120,FriJan22,22,1453449949,00
#2A6969,1167945380874999987_1912331845,FriJan22,22,1453449960,00
#CA9B9B,1167945538260864702_44440674,FriJan22,22,1453449979,00
#689999,1167945661247114970_25431522,FriJan22,22,1453449994,00
#963333,1167945822181504947_8020492,FriJan22,22,1453450013,00
#6A2121,1167945895684270286_543282233,FriJan22,22,1453450022,00
#185656,1167945904239834490_28801436,FriJan22,22,1453450023,00
#2A2222,1167946049642669164_641474456,FriJan22,22,1453450040,00
#675050,1167946196071969143_1276627267,FriJan22,22,1453450057,00
#493F3F,1167946244834110529_282876450,FriJan22,22,1453450063,00
#81ABAB,1167946267524116514_2307830299,FriJan22,22,1453450066,00
#938383,1167946719890366598_14327423,FriJan22,22,1453450120,00
#605757,1167946876782923099_497067834,FriJan22,22,1453450139,00
#868686,1167947082892492800_176964271,FriJan22,22,1453450163,00
#B39494,1167947304989579679_609389565,FriJan22,22,1453450190,00
#A97979,1167947364196737627_1313384919,FriJan22,22,1453450197,00
#797D7D,1167947392990097462_2307830299,FriJan22,22,1453450200,00
#1D0909,1167947407356065482_33709860,FriJan22,22,1453450202,00
#406B6B,1167947506925345199_31166445,FriJan22,22,1453450214,00
#4A3131,1167947542293044251_2235117742,FriJan22,22,1453450218,00
#746C6C,1167947869228192749_356425339,FriJan22,22,1453450257,00
#3B1C1C,1167948044896571435_8782819,FriJan22,22,1453450278,00
#423434,1167948227348823700_38157846,FriJan22,22,1453450300,00
#C48B8B,1167948462128844917_53567515,FriJan22,22,1453450328,00
#BEB6B6,1167948486521444808_284051077,FriJan22,22,1453450330,00
#694A4A,1167948481278577469_16306089,FriJan22,22,1453450330,00
#648585,1167948634613133382_2307830299,FriJan22,22,1453450348,00
#886A6A,1167948676357048816_37777449,FriJan22,22,1453450353,00
#3C3838,1167948884260735766_1814442865,FriJan22,22,1453450378,00
#658282,1167948969519919180_2307830299,FriJan22,22,1453450388,00
#484343,1167948979010648617_1593458437,FriJan22,22,1453450389,00
#515A5A,1167949042963624433_610876707,FriJan22,22,1453450397,00
#716A6A,1167949358818957327_175040805,FriJan22,22,1453450435,00
