colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#7C8E8E,1161419389865178654_28932700,WedJan13,13,1452672002,00
#383535,1161420175500972098_176778395,WedJan13,13,1452672095,00
#616565,1161421073905725661_868399971,WedJan13,13,1452672202,00
#744F4F,1161421166991896733_236102811,WedJan13,13,1452672213,00
#3F1212,1161421309469920966_318490386,WedJan13,13,1452672230,00
#626262,1161421418230720274_430172824,WedJan13,13,1452672243,00
#120808,1161421420068409431_176778395,WedJan13,13,1452672244,00
#6B6B6B,1161421647468201539_179984768,WedJan13,13,1452672271,00
#252424,1161421694930722410_2209364550,WedJan13,13,1452672276,00
#3C5656,1161422215208192282_1087638793,WedJan13,13,1452672338,00
#6F6C6C,1161422262256331862_24840314,WedJan13,13,1452672344,00
#2E0A0A,1161422515904331221_2440741934,WedJan13,13,1452672374,00
#535353,1161422628957292460_2302736632,WedJan13,13,1452672388,00
#C6A1A1,1161422695454316566_435617149,WedJan13,13,1452672396,00
#767C7C,1161423748880819190_10468991,WedJan13,13,1452672521,00
#D9C6C6,1161423792617134127_435617149,WedJan13,13,1452672526,00
#D0C3C3,1161423828426868353_208875944,WedJan13,13,1452672531,00
#5E5151,1161423827758307756_33343413,WedJan13,13,1452672531,00
#765959,1161423865078494811_28932700,WedJan13,13,1452672535,00
#4BA1A1,1161423891017189679_1087638793,WedJan13,13,1452672538,00
#242A2A,1161424114648030153_8097757,WedJan13,13,1452672565,00
#5E4545,1161424133890353609_190696641,WedJan13,13,1452672567,00
#522626,1161425224024443743_34457545,WedJan13,13,1452672697,00
#5C3F3F,1161425325492624029_2243247133,WedJan13,13,1452672709,00
#2D2323,1161425746929460404_17008656,WedJan13,13,1452672759,00
#7CBABA,1161425879192783202_1087638793,WedJan13,13,1452672775,00
#7D6C6C,1161426044910380206_273599424,WedJan13,13,1452672795,00
#A4BBBB,1161426387113819125_1773818021,WedJan13,13,1452672836,00
#804747,1161426541338254814_1410462902,WedJan13,13,1452672854,00
#6C6767,1161426868034726787_1119149985,WedJan13,13,1452672893,00
#744848,1161426974401703674_199304426,WedJan13,13,1452672906,00
#4B2D2D,1161427202025941951_16113801,WedJan13,13,1452672933,00
#7B5C5C,1161427381977614124_838072,WedJan13,13,1452672954,00
#503D3D,1161427430280955527_179984768,WedJan13,13,1452672960,00
#8D6161,1161427653290786674_1606758486,WedJan13,13,1452672987,00
#6E6262,1161427809568000125_22660993,WedJan13,13,1452673005,00
#401F1F,1161427919317318438_3472125,WedJan13,13,1452673018,00
#BAB0B0,1161428997513541013_26362172,WedJan13,13,1452673147,00
#805C5C,1161429019340639239_462677114,WedJan13,13,1452673149,00
#351515,1161429021117049388_193570185,WedJan13,13,1452673150,00
#4F3D3D,1161429415796378528_1602128809,WedJan13,13,1452673197,00
#5DB2B2,1161429841975966371_181295253,WedJan13,13,1452673248,00
#AEA5A5,1161429880039436068_193804506,WedJan13,13,1452673252,00
#887474,1161429902449817114_1332795620,WedJan13,13,1452673255,00
#835C5C,1161430086181102430_304789519,WedJan13,13,1452673277,00
#805A5A,1161430558457269270_462677114,WedJan13,13,1452673333,00
#675555,1161430661341810608_940125418,WedJan13,13,1452673345,00
#142323,1161431050994739138_2102777456,WedJan13,13,1452673392,00
#7F6E6E,1161431058203051294_35734896,WedJan13,13,1452673393,00
#9C5555,1161431185919105132_1616149405,WedJan13,13,1452673408,00
#232323,1161431275895378214_26339467,WedJan13,13,1452673418,00
#6D2525,1161431369696475576_568819157,WedJan13,13,1452673430,00
#4C4545,1161432436951133606_704976450,WedJan13,13,1452673557,00
#506363,1161432851827328712_479347240,WedJan13,13,1452673606,00
#4B9090,1161433447133943378_22912884,WedJan13,13,1452673677,00
#795757,1161433666453883508_2122177673,WedJan13,13,1452673703,00
#A6A6A6,1161433688011221821_276631321,WedJan13,13,1452673706,00
#463B3B,1161433832253866460_11446839,WedJan13,13,1452673723,00
#6B4343,1161434285631314047_6145229,WedJan13,13,1452673777,00
#7E7373,1161435433647599001_2266116914,WedJan13,13,1452673914,00
#9B7C7C,1161435710255922936_439239222,WedJan13,13,1452673947,00
#483636,1161435739001864814_507032447,WedJan13,13,1452673951,00
#678C8C,1161435891647227312_730360,WedJan13,13,1452673969,00
#876F6F,1161436015760400531_8528991,WedJan13,13,1452673983,00
#7D7373,1161436156772989329_11389077,WedJan13,13,1452674000,00
#715555,1161436209014018074_1959400931,WedJan13,13,1452674007,00
#8A6161,1161436747985019076_39703799,WedJan13,13,1452674071,00
#2F1515,1161437552646177412_602079495,WedJan13,13,1452674167,00
#485454,1161437566865184518_199454804,WedJan13,13,1452674168,00
#9D8E8E,1161437855631559479_2545606809,WedJan13,13,1452674203,00
#4E4343,1161438020584708968_2856381,WedJan13,13,1452674222,00
#8D8989,1161438046422234302_11516980,WedJan13,13,1452674226,00
#C3B9B9,1161439507255399438_206366028,WedJan13,13,1452674400,00
#858383,1161439761387639027_1697045403,WedJan13,13,1452674430,00
#923939,1161439907478311334_189428395,WedJan13,13,1452674447,00
#434646,1161440139554505359_2225305431,WedJan13,13,1452674475,00
#706666,1161440735777654186_4018200,WedJan13,13,1452674546,00
#9F8F8F,1161441267109625402_2183230798,WedJan13,13,1452674610,00
#976161,1161442360323656922_31497994,WedJan13,13,1452674740,00
#974646,1161442446844364476_963183584,WedJan13,13,1452674750,00
#9C7070,1161442929698526625_10656140,WedJan13,13,1452674808,00
#272424,1161443090113656525_246485924,WedJan13,13,1452674827,00
#BB9F9F,1161443238063940804_317536320,WedJan13,13,1452674844,00
#766464,1161443360968625133_5204433,WedJan13,13,1452674859,00
#A77E7E,1161443580136581612_234338257,WedJan13,13,1452674885,00
#331A1A,1161443595059167184_208307526,WedJan13,13,1452674887,00
#7E8B8B,1161443867179719841_2082599966,WedJan13,13,1452674919,00
#9BB7B7,1161444603896805105_3426036,WedJan13,13,1452675007,00
#8B8282,1161444833283290872_3426036,WedJan13,13,1452675035,00
#524747,1161444963927357166_246485924,WedJan13,13,1452675050,00
#745B5B,1161445201075504213_303328072,WedJan13,13,1452675078,00
#8D9F9F,1161445505119424920_372361923,WedJan13,13,1452675115,00
#877474,1161446018093205889_1072188889,WedJan13,13,1452675176,00
#726565,1161446254525471778_4173254,WedJan13,13,1452675204,00
#0E0F0F,1161446474077459379_232895275,WedJan13,13,1452675230,00
#796E6E,1161446679719496072_1072188889,WedJan13,13,1452675255,00
#83A6A6,1161446876093888279_3426036,WedJan13,13,1452675278,00
#5C1919,1161446966274352831_251943896,WedJan13,13,1452675289,00
#6F4242,1161447149738767621_261281132,WedJan13,13,1452675311,00
#2D3A3A,1161447458532626863_372361923,WedJan13,13,1452675348,00
#786464,1161447492215550346_1620184523,WedJan13,13,1452675352,00
#6B6464,1161447730886221813_208827566,WedJan13,13,1452675380,00
#5E4B4B,1161448160834633853_48651295,WedJan13,13,1452675431,00
#4A3636,1161448165232696583_319403670,WedJan13,13,1452675432,00
#6F5F5F,1161448659185744604_20416965,WedJan13,13,1452675491,00
#7A4949,1161448769404409993_2237693,WedJan13,13,1452675504,00
#7E4949,1161448866098925750_4201747,WedJan13,13,1452675515,00
#B28282,1161449274725767311_2237693,WedJan13,13,1452675564,00
#9B6767,1161449723558238359_2237693,WedJan13,13,1452675618,01
#67B1B1,1161450594522543315_212402988,WedJan13,13,1452675721,01
#423131,1161450726448855095_550756693,WedJan13,13,1452675737,01
#9CC1C1,1161450790253933780_212402988,WedJan13,13,1452675745,01
#3E1F1F,1161450801124131438_50281583,WedJan13,13,1452675746,01
#3C3C3C,1161450944866402627_15104975,WedJan13,13,1452675763,01
#82B1B1,1161450954779702488_212402988,WedJan13,13,1452675764,01
#545656,1161451148203743480_23592517,WedJan13,13,1452675787,01
#585555,1161451624200232453_266644182,WedJan13,13,1452675844,01
#724646,1161452274074887012_279089967,WedJan13,13,1452675922,01
#311010,1161452559862586506_2309516270,WedJan13,13,1452675956,01
#776464,1161452801917829701_838238183,WedJan13,13,1452675985,01
#9D5E5E,1161453535937997760_233838369,WedJan13,13,1452676072,01
#A48787,1161454817613384544_176890193,WedJan13,13,1452676225,01
#584242,1161455220210072699_20102366,WedJan13,13,1452676273,01
#7E6969,1161455301068650060_546588132,WedJan13,13,1452676282,01
#969393,1161456252828695275_20065173,WedJan13,13,1452676396,01
#517A7A,1161456379659382804_487098419,WedJan13,13,1452676411,01
#B06A6A,1161456512868067308_216846064,WedJan13,13,1452676427,01
#9E6C6C,1161456757005514566_1442124764,WedJan13,13,1452676456,01
#5D5F5F,1161456791210435394_10501031,WedJan13,13,1452676460,01
#ADA6A6,1161457080938638951_243883434,WedJan13,13,1452676495,01
#5C8383,1161458688632678071_334718960,WedJan13,13,1452676686,01
#475F5F,1161459373443932770_645567839,WedJan13,13,1452676768,01
#615E5E,1161460301725442942_10501031,WedJan13,13,1452676879,01
#776161,1161460502911178633_7952740,WedJan13,13,1452676903,01
#423B3B,1161460997241850883_237071170,WedJan13,13,1452676962,01
#685F5F,1161461334069703715_1497451244,WedJan13,13,1452677002,01
#6E7272,1161462222232724510_535678560,WedJan13,13,1452677107,01
#AEB9B9,1161463093587577224_21780225,WedJan13,13,1452677211,01
#C09999,1161463207773237611_1721625155,WedJan13,13,1452677225,01
#6E6B6B,1161463218438605144_368258521,WedJan13,13,1452677226,01
#D6D4D4,1161463411133485505_258838683,WedJan13,13,1452677249,01
#709595,1161463534981102512_22076933,WedJan13,13,1452677264,01
#111111,1161463991363365688_218076977,WedJan13,13,1452677318,01
#593636,1161465473800290260_532344046,WedJan13,13,1452677495,01
#656262,1161465577187063461_4181292,WedJan13,13,1452677508,01
