colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#3D2B2B,1157070819287468867_187186633,ThuJan7,7,1452153612,00
#7C5D5D,1157070960160281380_11324483,ThuJan7,7,1452153628,00
#795F5F,1157071491676892798_624672170,ThuJan7,7,1452153692,00
#655454,1157071532060120082_1481537628,ThuJan7,7,1452153697,00
#884040,1157071689646532272_1934955696,ThuJan7,7,1452153715,00
#463C3C,1157072236411677474_228524665,ThuJan7,7,1452153780,00
#787171,1157072501037812976_389613794,ThuJan7,7,1452153812,00
#261919,1157072585495309849_17629762,ThuJan7,7,1452153822,00
#443636,1157072832788035318_201396404,ThuJan7,7,1452153852,00
#455A5A,1157072842855297395_42947315,ThuJan7,7,1452153853,00
#6C5B5B,1157072867617812631_516826675,ThuJan7,7,1452153856,00
#7D4A4A,1157073041001031950_1476030777,ThuJan7,7,1452153876,00
#A5CBCB,1157073438245998596_1457218155,ThuJan7,7,1452153924,00
#577B7B,1157073667322062103_3678112,ThuJan7,7,1452153951,00
#8A6161,1157073969687046422_1476030777,ThuJan7,7,1452153987,00
#8B7777,1157074011060414371_215711512,ThuJan7,7,1452153992,00
#3A5B5B,1157074168172495040_145663311,ThuJan7,7,1452154011,00
#867878,1157074201792265275_713341582,ThuJan7,7,1452154015,00
#CE9D9D,1157074528426994265_7690713,ThuJan7,7,1452154054,00
#A68B8B,1157074560466809888_47049348,ThuJan7,7,1452154058,00
#749797,1157074702129965352_1476030777,ThuJan7,7,1452154074,00
#703131,1157074937112318555_2248836427,ThuJan7,7,1452154102,00
#361F1F,1157074943112735781_349128930,ThuJan7,7,1452154103,00
#7E7A7A,1157075018147616711_593617740,ThuJan7,7,1452154112,00
#504C4C,1157075027886324806_1535907286,ThuJan7,7,1452154113,00
#D8CCCC,1157075214736520530_226314572,ThuJan7,7,1452154136,00
#89A6A6,1157075324550224524_34348045,ThuJan7,7,1452154149,00
#90B4B4,1157075355921295664_1476030777,ThuJan7,7,1452154152,00
#988181,1157075870950941460_28778383,ThuJan7,7,1452154214,00
#705B5B,1157075939550403443_4730869,ThuJan7,7,1452154222,00
#554E4E,1157076165891920101_2106150963,ThuJan7,7,1452154249,00
#377070,1157076205883296298_223898777,ThuJan7,7,1452154254,00
#887C7C,1157076519658649251_145563260,ThuJan7,7,1452154291,00
#B9B9B9,1157076834447395698_2000096153,ThuJan7,7,1452154329,00
#783C3C,1157077085905841876_3582650,ThuJan7,7,1452154359,00
#878C8C,1157077575356923586_186948598,ThuJan7,7,1452154417,00
