colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#776666,1169392043704924124_743703276,SunJan24,24,1453622416,00
#271C1C,1169392465157742358_14779022,SunJan24,24,1453622466,00
#774A4A,1169392492360273141_1433317338,SunJan24,24,1453622469,00
#7F5C5C,1169392535092631691_235233109,SunJan24,24,1453622475,00
#3F3232,1169392605011979090_2076078401,SunJan24,24,1453622483,00
#644747,1169392922416661484_1406125015,SunJan24,24,1453622521,00
#5C5E5E,1169392982245149921_355140930,SunJan24,24,1453622528,00
#877070,1169393115695147750_8424857,SunJan24,24,1453622544,00
#6D6F6F,1169393126481035279_532448039,SunJan24,24,1453622545,00
#795757,1169393322129818399_2521374287,SunJan24,24,1453622568,00
#4F6F6F,1169393377688258976_225254961,SunJan24,24,1453622575,00
#4A3131,1169393376945903228_2308765900,SunJan24,24,1453622575,00
#897373,1169393487081179185_276682113,SunJan24,24,1453622588,00
#9E8585,1169393646245286565_839295803,SunJan24,24,1453622607,00
#6E5151,1169393730316859401_2511725,SunJan24,24,1453622617,00
#9D8F8F,1169393780093381674_333100282,SunJan24,24,1453622623,00
#7A8C8C,1169393792252133446_1951068855,SunJan24,24,1453622624,00
#564C4C,1169393862363409093_1257173161,SunJan24,24,1453622633,00
#317B7B,1169393882001656108_2210063665,SunJan24,24,1453622635,00
#764747,1169394130867445443_1276699598,SunJan24,24,1453622665,00
#5C3838,1169394185297743278_181446298,SunJan24,24,1453622671,00
#AE7070,1169394344060882689_233896634,SunJan24,24,1453622690,00
#5E7979,1169394367036785520_145911151,SunJan24,24,1453622693,00
#897373,1169394384748411902_421959349,SunJan24,24,1453622695,00
#B28787,1169394399779158529_220942749,SunJan24,24,1453622697,00
#683D3D,1169394666301367036_22872119,SunJan24,24,1453622729,00
#716C6C,1169394677367730355_2422278867,SunJan24,24,1453622730,00
#C99A9A,1169394824165367418_249575934,SunJan24,24,1453622747,00
#212A2A,1169394864086385770_189275576,SunJan24,24,1453622752,00
#A1B8B8,1169394862636647949_2115452032,SunJan24,24,1453622752,00
#4C3434,1169395061557463826_173745,SunJan24,24,1453622776,00
#A7A7A7,1169395189375086484_1453924138,SunJan24,24,1453622791,00
#7F5757,1169395254258185360_1725986420,SunJan24,24,1453622799,00
#754B4B,1169395357466440212_2109314555,SunJan24,24,1453622811,00
#519595,1169395462539129675_2156016611,SunJan24,24,1453622824,00
#8A7B7B,1169395614735941760_1951068855,SunJan24,24,1453622842,00
#676969,1169395812192238621_4435782,SunJan24,24,1453622865,00
#6F4747,1169396114342583595_40311830,SunJan24,24,1453622901,00
#918484,1169396164156717086_421959349,SunJan24,24,1453622907,00
#8D8181,1169396219945416115_1464080508,SunJan24,24,1453622914,00
#573A3A,1169396430097752873_21756415,SunJan24,24,1453622939,00
#777373,1169396490950738827_22728391,SunJan24,24,1453622946,00
#965151,1169396577925040678_23129577,SunJan24,24,1453622956,00
#619898,1169396652168922900_2160515976,SunJan24,24,1453622965,00
#B99E9E,1169396675312680916_22040574,SunJan24,24,1453622968,00
#A19F9F,1169396794803877935_421959349,SunJan24,24,1453622982,00
