colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#582C2C,1155621337652485359_1941117262,TueJan5,5,1451980820,00
#787979,1155621554456616218_2412887806,TueJan5,5,1451980846,00
#815353,1155621640623840503_1941117262,TueJan5,5,1451980856,00
#461616,1155621671319741935_2258409200,TueJan5,5,1451980860,00
#4A6666,1155621687809125359_1571001641,TueJan5,5,1451980862,00
#3A4444,1155621763876612905_24556241,TueJan5,5,1451980871,00
#7D3939,1155621918848802047_1941117262,TueJan5,5,1451980889,00
#713A3A,1155622019604073152_2378731969,TueJan5,5,1451980901,00
#5B2323,1155622144048403955_641171316,TueJan5,5,1451980916,00
#AC8F8F,1155622288670893264_183164136,TueJan5,5,1451980933,00
#5D7C7C,1155622345822426029_1229083,TueJan5,5,1451980940,00
#3C2121,1155622380166006158_2237784688,TueJan5,5,1451980944,00
#675959,1155622430946077660_25940233,TueJan5,5,1451980950,00
#AFACAC,1155622445937584814_476273,TueJan5,5,1451980952,00
#C28E8E,1155622539001724613_2223762174,TueJan5,5,1451980963,00
#833F3F,1155622629650148271_201613273,TueJan5,5,1451980974,00
#6A4D4D,1155622819374876220_185677864,TueJan5,5,1451980997,00
#826D6D,1155623222768115060_309574678,TueJan5,5,1451981044,00
#B85A5A,1155623231337112237_476405615,TueJan5,5,1451981046,00
#8C7272,1155623298354856040_287006743,TueJan5,5,1451981054,00
#402929,1155623345157916064_2237784688,TueJan5,5,1451981059,00
#7E6060,1155623363309830200_11048679,TueJan5,5,1451981061,00
#7A8181,1155623547993580073_405208831,TueJan5,5,1451981083,00
#322C2C,1155623638506930471_1663319095,TueJan5,5,1451981094,00
#2A2121,1155623643866553351_490288414,TueJan5,5,1451981095,00
#553E3E,1155623662798718918_2352262512,TueJan5,5,1451981097,00
#415A5A,1155623751204880165_2008351166,TueJan5,5,1451981107,00
#6C4242,1155623979319945135_1930409728,TueJan5,5,1451981135,00
#352C2C,1155624170736020313_24556241,TueJan5,5,1451981158,00
#C5C0C0,1155624213041905567_42533326,TueJan5,5,1451981163,00
#333E3E,1155624375287367082_2237784688,TueJan5,5,1451981182,00
#4E6464,1155624497415133264_1811667757,TueJan5,5,1451981196,00
#1E1D1D,1155624501447630952_6245391,TueJan5,5,1451981197,00
#8C7070,1155624882479701022_19189998,TueJan5,5,1451981242,00
#B43131,1155625052591466032_2258409200,TueJan5,5,1451981263,00
#3F3636,1155625138222876086_2237784688,TueJan5,5,1451981273,00
#A48888,1155625278184706063_500262643,TueJan5,5,1451981290,00
#3D3A3A,1155625651697621356_190889357,TueJan5,5,1451981334,00
#8A8585,1155625875026622098_268798468,TueJan5,5,1451981361,00
#282828,1155625923589522884_2237784688,TueJan5,5,1451981366,00
#101010,1155626205904218165_2334415873,TueJan5,5,1451981400,00
#8C9D9D,1155626473243299982_1647798347,TueJan5,5,1451981432,00
#8D7C7C,1155626694516423109_210686805,TueJan5,5,1451981458,00
#393B3B,1155626712672323032_2237784688,TueJan5,5,1451981461,00
#383434,1155626992480779483_264857782,TueJan5,5,1451981494,00
#554646,1155627109987136459_312486547,TueJan5,5,1451981508,00
#726F6F,1155627331944031825_2258409200,TueJan5,5,1451981534,00
#846C6C,1155627355994713990_1618269730,TueJan5,5,1451981537,00
#493737,1155627496887752846_1811667757,TueJan5,5,1451981554,00
#6A6363,1155627681520351955_371797109,TueJan5,5,1451981576,00
#B87575,1155627746139657898_1429038924,TueJan5,5,1451981584,00
#AC6C6C,1155627978081671008_213990996,TueJan5,5,1451981611,00
#6A3A3A,1155628207907843890_46339394,TueJan5,5,1451981639,00
#5D2A2A,1155628237117116794_626229531,TueJan5,5,1451981642,00
#84A5A5,1155628234622529132_402606434,TueJan5,5,1451981642,00
#6A6A6A,1155628230847333320_200421119,TueJan5,5,1451981642,00
#6D8E8E,1155628238976552142_1626331762,TueJan5,5,1451981643,00
#675F5F,1155628314778519464_54624208,TueJan5,5,1451981652,00
#8A9C9C,1155628452746346174_24029590,TueJan5,5,1451981668,00
#381616,1155629001205625818_8630011,TueJan5,5,1451981733,00
#678A8A,1155629256928241267_2258409200,TueJan5,5,1451981764,00
#4A4545,1155629584864493259_24029590,TueJan5,5,1451981803,00
#372828,1155629751315270535_2935321,TueJan5,5,1451981823,00
#211515,1155629919448619688_287850789,TueJan5,5,1451981843,00
#A24B4B,1155629974078499577_201178977,TueJan5,5,1451981849,00
#3C7474,1155629999251462339_1811667757,TueJan5,5,1451981852,00
#7A5555,1155630309774114924_14334271,TueJan5,5,1451981889,00
#564040,1155630561780840099_7495524,TueJan5,5,1451981919,00
#8E5151,1155630717767955881_1298381452,TueJan5,5,1451981938,00
#AB9898,1155630855425389266_370291819,TueJan5,5,1451981954,00
#A4B0B0,1155630997471516772_7253605,TueJan5,5,1451981971,00
#724444,1155631103714551125_2282564888,TueJan5,5,1451981984,00
#B0B8B8,1155631108562491738_256409229,TueJan5,5,1451981985,00
#533F3F,1155631118879439519_27878213,TueJan5,5,1451981986,00
#575858,1155631230925801644_177632945,TueJan5,5,1451981999,00
#692424,1155631314097934732_197117051,TueJan5,5,1451982009,00
#713838,1155631530833786294_1298381452,TueJan5,5,1451982035,00
#4E3333,1155631549255282457_302101562,TueJan5,5,1451982037,00
#404B4B,1155631628829142428_17866098,TueJan5,5,1451982047,00
#5C4242,1155631712597347457_44440674,TueJan5,5,1451982057,00
#6F5A5A,1155631894733404841_27878213,TueJan5,5,1451982078,00
#9C7F7F,1155631940997798090_1616149405,TueJan5,5,1451982084,00
#5F4D4D,1155631957011469266_218899227,TueJan5,5,1451982086,00
#C44D4D,1155632623268452565_1616149405,TueJan5,5,1451982165,00
#CC5454,1155632959903291613_1616149405,TueJan5,5,1451982205,00
#221919,1155632973357079918_1410462902,TueJan5,5,1451982207,00
#5A4242,1155633038353891508_361729735,TueJan5,5,1451982215,00
#898080,1155633266570781556_220821239,TueJan5,5,1451982242,00
