colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#725A5A,1173740623988150725_229409243,SatJan30,30,1454140807,00
#8C6666,1173740717710815331_23321067,SatJan30,30,1454140818,00
#433838,1173740967391112452_375167794,SatJan30,30,1454140848,00
#7F7575,1173740999047983291_1504601099,SatJan30,30,1454140852,00
#998383,1173741092850214166_355721896,SatJan30,30,1454140863,00
#736363,1173741331655818825_1822565638,SatJan30,30,1454140891,00
#5B3E3E,1173741649247964856_304100098,SatJan30,30,1454140929,00
#776767,1173741762163430091_1123614787,SatJan30,30,1454140943,00
#986D6D,1173741981353069279_1989200209,SatJan30,30,1454140969,00
#667C7C,1173742262162812414_1458816274,SatJan30,30,1454141002,00
#3D2E2E,1173742260126843053_1422408679,SatJan30,30,1454141002,00
#E4ECEC,1173742265475738444_7690713,SatJan30,30,1454141003,00
#816D6D,1173742332730994464_11204410,SatJan30,30,1454141011,00
#C17F7F,1173742811635476878_439263289,SatJan30,30,1454141068,00
#212323,1173742976236959688_1253500,SatJan30,30,1454141088,00
#729B9B,1173743039065944479_2230126851,SatJan30,30,1454141095,00
#9D9090,1173743107911982298_1691882566,SatJan30,30,1454141103,00
#757171,1173743143419905941_18731536,SatJan30,30,1454141107,00
#756969,1173743273957581178_290014023,SatJan30,30,1454141123,00
#161818,1173743584847909167_188484147,SatJan30,30,1454141160,00
#623232,1173743669261314434_295208017,SatJan30,30,1454141170,00
#BC7373,1173743751218691743_1948318678,SatJan30,30,1454141180,00
#7A4040,1173743825761067376_1159855,SatJan30,30,1454141189,00
#584646,1173743848374144395_424552306,SatJan30,30,1454141191,00
#A99191,1173744429866072763_355569269,SatJan30,30,1454141261,00
#B57373,1173744596647771818_1948318678,SatJan30,30,1454141281,00
#A36060,1173745124560868130_1552589867,SatJan30,30,1454141344,00
#6C4A4A,1173745455866955920_1614162929,SatJan30,30,1454141383,00
#524444,1173745620054224842_260280042,SatJan30,30,1454141403,00
#825959,1173745824672689196_200403498,SatJan30,30,1454141427,00
#ACABAB,1173745933583327345_304454807,SatJan30,30,1454141440,00
#7C4D4D,1173746082535779227_2222445841,SatJan30,30,1454141458,00
#877171,1173746192400922269_1211445396,SatJan30,30,1454141471,00
#694949,1173746470040234518_38486913,SatJan30,30,1454141504,00
#7A8585,1173746503265612709_2436115059,SatJan30,30,1454141508,00
#A35757,1173746755665268800_233613203,SatJan30,30,1454141538,00
#634444,1173747209965901997_319407021,SatJan30,30,1454141592,00
#A58484,1173747371490429581_1122143857,SatJan30,30,1454141611,00
