colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#857171,1158520466286555373_2700491,SatJan9,9,1452326423,00
#B5B0B0,1158520485093996027_16740668,SatJan9,9,1452326425,00
#839292,1158521103217287861_1500320983,SatJan9,9,1452326499,00
#736868,1158521275690866114_40344692,SatJan9,9,1452326519,00
#44A2A2,1158521303035094232_1909962120,SatJan9,9,1452326523,00
#9FB4B4,1158521846175114194_1617839871,SatJan9,9,1452326587,00
#353D3D,1158521904246279403_2226471778,SatJan9,9,1452326594,00
#9A6969,1158522350622989459_2520983830,SatJan9,9,1452326648,00
#535B5B,1158522415408012932_505603638,SatJan9,9,1452326655,00
#886161,1158522555024530890_1693680246,SatJan9,9,1452326672,00
#8B4A4A,1158522563220249931_265185294,SatJan9,9,1452326673,00
#737D7D,1158522658886477054_1981332776,SatJan9,9,1452326684,00
#4D3131,1158522887297677046_1332795620,SatJan9,9,1452326712,00
#583E3E,1158523352028675420_431992686,SatJan9,9,1452326767,00
#9A6969,1158523406304140453_2520983830,SatJan9,9,1452326773,00
#797979,1158523443438757111_1909962120,SatJan9,9,1452326778,00
#8C7676,1158523892221965775_278753164,SatJan9,9,1452326831,00
#757979,1158524472761585816_20425835,SatJan9,9,1452326901,00
#AB9090,1158524488198345333_24397515,SatJan9,9,1452326902,00
#AE9B9B,1158524514487953894_543282233,SatJan9,9,1452326906,00
#CEC0C0,1158524602146836228_261240210,SatJan9,9,1452326916,00
#A15151,1158524989108564495_2243248755,SatJan9,9,1452326962,00
#8A5555,1158525058825137457_379037634,SatJan9,9,1452326970,00
#4C4A4A,1158525099583644288_5895935,SatJan9,9,1452326975,00
#B09090,1158525294728783353_230796864,SatJan9,9,1452326999,00
#826565,1158525367988509920_2520983830,SatJan9,9,1452327007,00
#271717,1158525691762388284_379037634,SatJan9,9,1452327046,00
#6A5C5C,1158525768255769345_2100660353,SatJan9,9,1452327055,00
#747777,1158525878591498704_7690713,SatJan9,9,1452327068,00
#6B9797,1158525881863370383_463281020,SatJan9,9,1452327069,00
#3E3E3E,1158526010321938982_2279745,SatJan9,9,1452327084,00
#836767,1158526319155797691_505603638,SatJan9,9,1452327121,00
#9C8181,1158526957225989491_1622772,SatJan9,9,1452327197,00
#332626,1158527002497039303_1925235557,SatJan9,9,1452327202,00
#524444,1158527015778993059_53768279,SatJan9,9,1452327204,00
#976262,1158527108421120481_602716659,SatJan9,9,1452327215,00
#985959,1158527222869233536_1440143938,SatJan9,9,1452327228,00
#544444,1158527398053744849_20425835,SatJan9,9,1452327249,00
#AD7777,1158527491755144917_104746468,SatJan9,9,1452327260,00
#696A6A,1158527596326120755_242850090,SatJan9,9,1452327273,00
#7E7D7D,1158527609507941194_527563329,SatJan9,9,1452327274,00
#1F1D1D,1158528037760156352_30670399,SatJan9,9,1452327326,00
#BDA6A6,1158528375044429388_179663828,SatJan9,9,1452327366,00
#797272,1158528391343544643_352853877,SatJan9,9,1452327368,00
#512D2D,1158528455564573591_15286773,SatJan9,9,1452327375,00
#4A3636,1158528464532964193_1907337719,SatJan9,9,1452327376,00
#778181,1158528613422037610_586502397,SatJan9,9,1452327394,00
#5D5D5D,1158528692157122130_8682016,SatJan9,9,1452327404,00
#3C1A1A,1158528808054960785_231982827,SatJan9,9,1452327417,00
#3F3030,1158528934193543522_593246933,SatJan9,9,1452327432,00
#765959,1158529010822283977_177340767,SatJan9,9,1452327442,00
#503E3E,1158529037232091034_1643298178,SatJan9,9,1452327445,00
#444545,1158529066668414354_2190403860,SatJan9,9,1452327448,00
#985D5D,1158529107905655215_484367731,SatJan9,9,1452327453,00
#175454,1158529224105874367_193428923,SatJan9,9,1452327467,00
#8B5F5F,1158529473701540503_279009923,SatJan9,9,1452327497,00
#835353,1158529601902158688_265547503,SatJan9,9,1452327512,00
#7A9A9A,1158529714713075523_443398,SatJan9,9,1452327525,00
#733434,1158530021196822236_463281020,SatJan9,9,1452327562,00
#818383,1158530123688170591_1707370372,SatJan9,9,1452327574,00
#7C7070,1158530508795581399_145343491,SatJan9,9,1452327620,00
#BCB5B5,1158530524948533320_277245067,SatJan9,9,1452327622,00
#2F5454,1158530682202157581_247855827,SatJan9,9,1452327641,00
#7C7C7C,1158530826656597518_1462398376,SatJan9,9,1452327658,00
#1B2424,1158530919944477123_271811589,SatJan9,9,1452327669,00
#4F4D4D,1158531043408746068_320977308,SatJan9,9,1452327684,00
#594848,1158531061929644072_656036187,SatJan9,9,1452327686,00
#874848,1158531238319599975_2167373819,SatJan9,9,1452327707,00
#796565,1158531377231438653_6245391,SatJan9,9,1452327724,00
#574545,1158531454376812961_3994039,SatJan9,9,1452327733,00
#7C8C8C,1158531733038261969_197654312,SatJan9,9,1452327766,00
#65A9A9,1158531781020798769_2521009018,SatJan9,9,1452327772,00
#150404,1158531851527986772_9024934,SatJan9,9,1452327780,00
#7C2020,1158531982154861235_303354417,SatJan9,9,1452327796,00
#633939,1158532258471486288_6245391,SatJan9,9,1452327829,00
#232121,1158532451384725293_402470802,SatJan9,9,1452327852,00
#8E5A5A,1158533000741287530_1667079124,SatJan9,9,1452327917,00
#B2A0A0,1158533065631386177_2262480049,SatJan9,9,1452327925,00
#C62727,1158533085739721276_2241645871,SatJan9,9,1452327927,00
#AD9090,1158533426379867545_183464720,SatJan9,9,1452327968,00
#5D7979,1158533619233655509_303354417,SatJan9,9,1452327991,00
#9A7B7B,1158533795487008162_183464720,SatJan9,9,1452328012,00
#854A4A,1158534287549832736_265185294,SatJan9,9,1452328071,00
#4A9797,1158534329461620938_255892543,SatJan9,9,1452328075,00
#886B6B,1158534424322229682_183464720,SatJan9,9,1452328087,00
#2A9494,1158535148322420551_463281020,SatJan9,9,1452328173,00
#9A5E5E,1158535376914857868_51693822,SatJan9,9,1452328200,00
#415656,1158535411751727898_231982827,SatJan9,9,1452328205,00
#5B3E3E,1158535438253104241_2209364550,SatJan9,9,1452328208,00
#825D5D,1158535473971351836_212749115,SatJan9,9,1452328212,00
#7A6B6B,1158535601888115535_1773818021,SatJan9,9,1452328227,00
#725E5E,1158535699044082181_16792151,SatJan9,9,1452328239,00
#5B4141,1158535754084492539_220549840,SatJan9,9,1452328245,00
#8B7575,1158536193496718312_632414997,SatJan9,9,1452328298,00
#594040,1158536274332682114_2264565064,SatJan9,9,1452328307,00
#99B5B5,1158537262422887203_303354417,SatJan9,9,1452328425,00
#A37777,1158537322099939083_196844900,SatJan9,9,1452328432,00
#626262,1158537782231506075_2209364550,SatJan9,9,1452328487,00
#8B9A9A,1158537968565637981_2086537579,SatJan9,9,1452328509,00
#718E8E,1158538169279692095_2123502414,SatJan9,9,1452328533,00
#AF6666,1158538288051822186_265185294,SatJan9,9,1452328547,00
#A48E8E,1158538328531004931_1943074346,SatJan9,9,1452328552,00
#664D4D,1158538364381402638_2524671892,SatJan9,9,1452328557,00
#7A7B7B,1158538924976833534_22728391,SatJan9,9,1452328623,00
#978484,1158538990606066892_8830232,SatJan9,9,1452328631,00
#504141,1158539351025221465_264857782,SatJan9,9,1452328674,00
#839292,1158539419444382545_303354417,SatJan9,9,1452328682,00
#757474,1158539537025449296_2123502414,SatJan9,9,1452328696,00
