colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#665757,1170117193577863162_416514676,MonJan25,25,1453708860,00
#532E2E,1170117270750428916_35897110,MonJan25,25,1453708870,00
#575757,1170117326864073220_347414303,MonJan25,25,1453708876,00
#826969,1170117360779913225_1119149985,MonJan25,25,1453708880,00
#A75454,1170117398268436009_36619822,MonJan25,25,1453708885,00
#AE9B9B,1170117394963050636_2353549555,MonJan25,25,1453708885,00
#8A7F7F,1170117555988818621_269727649,MonJan25,25,1453708904,00
#935252,1170117794209693696_251168807,MonJan25,25,1453708932,00
#9F7B7B,1170117864406503128_4899722,MonJan25,25,1453708941,00
#FF4A4A,1170117916548120994_14462799,MonJan25,25,1453708947,00
#9A6666,1170118007370168014_1725986420,MonJan25,25,1453708958,00
#577777,1170118028910891155_507010227,MonJan25,25,1453708960,00
#84A2A2,1170118044190085668_258838683,MonJan25,25,1453708962,00
#846D6D,1170118163405721257_819625498,MonJan25,25,1453708976,00
#897979,1170118174874921245_198357425,MonJan25,25,1453708978,00
#6E4F4F,1170118254550442213_723402935,MonJan25,25,1453708987,00
#552525,1170118545703529582_192739186,MonJan25,25,1453709022,00
#686565,1170118565056829285_875834948,MonJan25,25,1453709024,00
#8D7171,1170118727734619265_36322522,MonJan25,25,1453709043,00
#A19E9E,1170118920572475416_183523045,MonJan25,25,1453709066,00
#4F5757,1170118973429891275_1213353823,MonJan25,25,1453709073,00
#A19898,1170119034178819515_225642484,MonJan25,25,1453709080,00
#BE4F4F,1170119157342756427_36619822,MonJan25,25,1453709095,00
#964E4E,1170119322957630416_1097943441,MonJan25,25,1453709114,00
#5C5B5B,1170119753017244940_47004270,MonJan25,25,1453709166,00
#835B5B,1170119817574036353_2613027379,MonJan25,25,1453709173,00
#2A2A2A,1170119975529973962_1579875865,MonJan25,25,1453709192,00
#6F2222,1170119996711739843_177881383,MonJan25,25,1453709195,00
#AD5454,1170120009692438110_36619822,MonJan25,25,1453709196,00
#A28383,1170120044291640699_1189086106,MonJan25,25,1453709200,00
#A69D9D,1170120048041902904_4186647,MonJan25,25,1453709201,00
#929292,1170120077444230816_2712496898,MonJan25,25,1453709204,00
#5B4242,1170120083256157754_51755552,MonJan25,25,1453709205,00
#381E1E,1170120702935572360_19189998,MonJan25,25,1453709279,00
#993939,1170120751823507738_188484147,MonJan25,25,1453709285,00
#423535,1170121162261029143_437153863,MonJan25,25,1453709333,00
#5A4848,1170121566044560640_2074441798,MonJan25,25,1453709382,00
#402E2E,1170121902241945342_182125580,MonJan25,25,1453709422,00
#0C4343,1170121912437342841_179998743,MonJan25,25,1453709423,00
#854C4C,1170122018710538347_2325421713,MonJan25,25,1453709436,00
#B57979,1170122080687555738_297743648,MonJan25,25,1453709443,00
