colour,id,dayofweek-month-dayofmonth,daynumber,unixtime,hour
#717171,1162144367360168306_11638667,ThuJan14,14,1452758426,00
#D3C1C1,1162144406565350178_375270569,ThuJan14,14,1452758430,00
#C3B9B9,1162144784556026665_375270569,ThuJan14,14,1452758475,00
#483131,1162145295945042985_1625628202,ThuJan14,14,1452758536,00
#1A2525,1162145312681123760_17838990,ThuJan14,14,1452758538,00
#383535,1162145446915543329_9583907,ThuJan14,14,1452758554,00
#272525,1162145843576728819_972881434,ThuJan14,14,1452758602,00
#272E2E,1162145876286192240_451493661,ThuJan14,14,1452758605,00
#5AA9A9,1162145911976382263_555370402,ThuJan14,14,1452758610,00
#583E3E,1162146544850227031_2319018,ThuJan14,14,1452758685,00
#3D3D3D,1162146574887830638_25437064,ThuJan14,14,1452758689,00
#B69C9C,1162146639218908866_302810934,ThuJan14,14,1452758696,00
#1A0D0D,1162146746795769673_54637254,ThuJan14,14,1452758709,00
#2A4444,1162146793597885444_19389278,ThuJan14,14,1452758715,00
#565757,1162146946963272758_241835828,ThuJan14,14,1452758733,00
#5D4141,1162147032136687292_4544614,ThuJan14,14,1452758743,00
#5D7171,1162147067013381044_220276549,ThuJan14,14,1452758747,00
#504747,1162147501527179481_176502215,ThuJan14,14,1452758799,00
#AA9898,1162147910715001127_16237129,ThuJan14,14,1452758848,00
#727272,1162147967173074823_972579806,ThuJan14,14,1452758855,00
#4D2A2A,1162148136538263407_2319018,ThuJan14,14,1452758875,00
#7B6B6B,1162148314150817313_213914562,ThuJan14,14,1452758896,00
#373737,1162148877668512852_241835828,ThuJan14,14,1452758963,00
#482A2A,1162149049570973212_1936503860,ThuJan14,14,1452758984,00
#373434,1162149147858118300_1502606736,ThuJan14,14,1452758995,00
#685E5E,1162149162998458372_31035665,ThuJan14,14,1452758997,00
#867E7E,1162149169796735668_322094087,ThuJan14,14,1452758998,00
#3A2F2F,1162150435945734294_2317571815,ThuJan14,14,1452759149,00
#4E1919,1162150723658442939_180352041,ThuJan14,14,1452759183,00
#784444,1162151157778457477_144923175,ThuJan14,14,1452759235,00
#602929,1162151415887320879_1802892964,ThuJan14,14,1452759266,00
#746666,1162151446130156738_51024824,ThuJan14,14,1452759269,00
#1D4444,1162151476839415758_174313422,ThuJan14,14,1452759273,00
#DFD7D7,1162151656397484086_4693339,ThuJan14,14,1452759294,00
#180B0B,1162152308637398266_1933073804,ThuJan14,14,1452759372,00
#9C4E4E,1162152338138563527_200522271,ThuJan14,14,1452759376,00
#513030,1162152561281891802_632595286,ThuJan14,14,1452759402,00
#4ACCCC,1162152669775942751_1634984372,ThuJan14,14,1452759415,00
#936F6F,1162152760871837380_461810086,ThuJan14,14,1452759426,00
#8A5959,1162152796116407623_253414020,ThuJan14,14,1452759430,00
#4A3737,1162152792899919317_540450454,ThuJan14,14,1452759430,00
#1F0B0B,1162152981185656064_1933073804,ThuJan14,14,1452759452,00
