colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#442929,1152757031761926886_2394145053,FriJan1,1,1451639368,01
#655858,1152757098243283740_30981653,FriJan1,1,1451639376,01
#6A4646,1152757105968151784_438240638,FriJan1,1,1451639377,01
#101010,1152757127654499480_511562392,FriJan1,1,1451639379,01
#141010,1152757237849193579_944286,FriJan1,1,1451639393,01
#665959,1152757308958640949_1531948521,FriJan1,1,1451639401,01
#4A3535,1152757318453075452_3897086,FriJan1,1,1451639402,01
#362929,1152757340044520696_287206274,FriJan1,1,1451639405,01
#8F9090,1152757377796360885_12849305,FriJan1,1,1451639409,01
#364444,1152757465935957275_4569786,FriJan1,1,1451639420,01
#9F8282,1152757485208196265_184980116,FriJan1,1,1451639422,01
#948A8A,1152757729689656201_640223893,FriJan1,1,1451639451,01
#798080,1152757813993930808_1418392687,FriJan1,1,1451639461,01
#110C0C,1152757828546316657_296040881,FriJan1,1,1451639463,01
#6B6060,1152757938675934529_1028884760,FriJan1,1,1451639476,01
#353E3E,1152758001305227652_290179707,FriJan1,1,1451639483,01
#896363,1152758081659639886_192279645,FriJan1,1,1451639493,01
#563737,1152758094477539334_620619749,FriJan1,1,1451639495,01
#694A4A,1152758108214985666_2054591727,FriJan1,1,1451639496,01
#808181,1152758164853481869_4820375,FriJan1,1,1451639503,01
#775252,1152758162278540156_11845727,FriJan1,1,1451639503,01
#764747,1152758268412215231_247866710,FriJan1,1,1451639515,01
#271E1E,1152758286944334090_11323355,FriJan1,1,1451639518,01
#020101,1152758317270249939_1598449427,FriJan1,1,1451639521,01
#221818,1152758384611416066_51941909,FriJan1,1,1451639529,01
#726262,1152758470452838472_53917687,FriJan1,1,1451639539,01
#AB7777,1152758496039294253_2190403860,FriJan1,1,1451639543,01
#171A1A,1152758508638655993_2305418540,FriJan1,1,1451639544,01
#A7B0B0,1152758516420757316_619361072,FriJan1,1,1451639545,01
#222828,1152758528241433742_1111532174,FriJan1,1,1451639546,01
#393232,1152758570754412488_843271698,FriJan1,1,1451639551,01
#302F2F,1152758642235944521_21168850,FriJan1,1,1451639560,01
#322828,1152758786969602053_211430545,FriJan1,1,1451639577,01
#070404,1152758805503294890_229058726,FriJan1,1,1451639579,01
#595C5C,1152758829642527181_537730619,FriJan1,1,1451639582,01
#597171,1152758838132954561_217171748,FriJan1,1,1451639583,01
#4E4848,1152758851964568716_280075576,FriJan1,1,1451639585,01
#1E0E0E,1152758988916681364_535525281,FriJan1,1,1451639601,01
#3C1F1F,1152758996383912872_1500551619,FriJan1,1,1451639602,01
#3F4444,1152759148825000823_232019845,FriJan1,1,1451639620,01
#BFC7C7,1152759146773274013_2242000054,FriJan1,1,1451639620,01
#8D4545,1152759251899362936_316485106,FriJan1,1,1451639633,01
#808080,1152759264575006774_13160553,FriJan1,1,1451639634,01
#7D3434,1152759400565333658_16363094,FriJan1,1,1451639650,01
#A88F8F,1152759451542596705_11532794,FriJan1,1,1451639656,01
