colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#3D4545,1152776435193756627_704537701,FriJan1,1,1451641681,01
#613C3C,1152776455529190031_212749115,FriJan1,1,1451641683,01
#A0C8C8,1152776522954485377_24566834,FriJan1,1,1451641692,01
#2D2D2D,1152776582623674515_37307831,FriJan1,1,1451641699,01
#5D3939,1152776607074853536_361255,FriJan1,1,1451641702,01
#916B6B,1152776646837180897_10726573,FriJan1,1,1451641706,01
#363838,1152776656520204414_18239083,FriJan1,1,1451641707,01
#909C9C,1152776724003169396_2267360776,FriJan1,1,1451641715,01
#6D6C6C,1152776716487605096_1265411389,FriJan1,1,1451641715,01
#1A1818,1152776749490234600_642083192,FriJan1,1,1451641718,01
#935454,1152776768188066999_1625522826,FriJan1,1,1451641721,01
#110C0C,1152777170169157620_632406844,FriJan1,1,1451641769,01
#533A3A,1152777212987243279_814413,FriJan1,1,1451641774,01
#362020,1152777250416706869_194178920,FriJan1,1,1451641778,01
#7D6868,1152777359407128203_439046222,FriJan1,1,1451641791,01
#2B2424,1152777365783480751_2062209,FriJan1,1,1451641792,01
#241F1F,1152777470499014010_1023882736,FriJan1,1,1451641804,01
#120D0D,1152777609801348111_1170778820,FriJan1,1,1451641821,01
#574C4C,1152777759178018064_15224530,FriJan1,1,1451641839,01
#1D3737,1152777767665313305_578872600,FriJan1,1,1451641840,01
#674040,1152777783291956354_2000481298,FriJan1,1,1451641842,01
#564242,1152777842388835444_11995454,FriJan1,1,1451641849,01
#141313,1152777850241113522_1395990982,FriJan1,1,1451641850,01
#590D0D,1152777861626202421_509477689,FriJan1,1,1451641851,01
#323E3E,1152777899526131661_1386207882,FriJan1,1,1451641856,01
#4B2C2C,1152777950261695171_212749115,FriJan1,1,1451641862,01
#726464,1152777949588946202_452887494,FriJan1,1,1451641862,01
#4F6767,1152778066616798951_1744055914,FriJan1,1,1451641876,01
#865959,1152778546781054293_11641240,FriJan1,1,1451641933,01
#9D7A7A,1152778625627074430_2219882698,FriJan1,1,1451641942,01
#351E1E,1152778634952488264_318655044,FriJan1,1,1451641943,01
#020202,1152778659950909355_1286855404,FriJan1,1,1451641946,01
#5C5656,1152778805971116279_181605119,FriJan1,1,1451641964,01
#393A3A,1152778816830875101_28369904,FriJan1,1,1451641965,01
#6E4848,1152778881602712645_789565028,FriJan1,1,1451641973,01
#623737,1152778896436075345_15367277,FriJan1,1,1451641974,01
#261E1E,1152778926020795025_511275421,FriJan1,1,1451641978,01
#493434,1152778937828121711_1996169870,FriJan1,1,1451641979,01
#5F4848,1152778939252665865_1340348386,FriJan1,1,1451641980,01
#623636,1152778947902936821_20329964,FriJan1,1,1451641981,01
#626565,1152779079711165643_288498042,FriJan1,1,1451641996,01
#191A1A,1152779085907857433_388075611,FriJan1,1,1451641997,01
#171C1C,1152779278890637693_14623397,FriJan1,1,1451642020,01
#062121,1152779311335916607_325856584,FriJan1,1,1451642024,01
#211313,1152779319752979863_341994796,FriJan1,1,1451642025,01
#432424,1152779331888391663_2198906960,FriJan1,1,1451642026,01
#272626,1152779361359525717_429388868,FriJan1,1,1451642030,01
#4D4040,1152779473890389626_1704856610,FriJan1,1,1451642043,01
#5C4545,1152779591958856888_1196690448,FriJan1,1,1451642057,01
#362222,1152779662468267739_4708534,FriJan1,1,1451642066,01
#392626,1152779691156455107_1384532702,FriJan1,1,1451642069,01
#584B4B,1152779733970975700_585066789,FriJan1,1,1451642074,01
#823B3B,1152779745211293212_2049696382,FriJan1,1,1451642076,01
#ADA6A6,1152779852420350962_1655073967,FriJan1,1,1451642088,01
#232121,1152779922060861510_6267295,FriJan1,1,1451642097,01
#B57070,1152779931080083519_746548729,FriJan1,1,1451642098,01
#523535,1152780358564202643_39709369,FriJan1,1,1451642149,01
#221010,1152780369282844426_357722416,FriJan1,1,1451642150,01
#0B0808,1152780403635079874_578158281,FriJan1,1,1451642154,01
#5C1515,1152780437414204696_23151524,FriJan1,1,1451642158,01
#4C4040,1152780443076436005_21526447,FriJan1,1,1451642159,01
#332B2B,1152780442524562418_21098179,FriJan1,1,1451642159,01
#6D1F1F,1152780557992399412_1464601859,FriJan1,1,1451642173,01
#5A3D3D,1152780590600483936_5038388,FriJan1,1,1451642176,01
#504545,1152780660888173585_318772942,FriJan1,1,1451642185,01
#241818,1152780675415498249_7886238,FriJan1,1,1451642187,01
#090505,1152780710387517028_1304596152,FriJan1,1,1451642191,01
#0D0909,1152780826380724120_18449984,FriJan1,1,1451642205,01
#3E5454,1152780864661423181_229865192,FriJan1,1,1451642209,01
#211717,1152780901629988216_708350162,FriJan1,1,1451642214,01
#AAAAAA,1152780946157567697_1490195990,FriJan1,1,1451642219,01
#2C1616,1152781033424958950_375251676,FriJan1,1,1451642229,01
#A43838,1152781102834740468_328749058,FriJan1,1,1451642237,01
#070303,1152781161845681152_634636210,FriJan1,1,1451642245,01
#332727,1152781351624018300_902574001,FriJan1,1,1451642267,01
#534A4A,1152781355613092257_426875189,FriJan1,1,1451642268,01
#4A4A4A,1152781409304374023_188439281,FriJan1,1,1451642274,01
#462525,1152781601520244501_1770413604,FriJan1,1,1451642297,01
#1E1717,1152781737919044739_1349753638,FriJan1,1,1451642313,01
#3F2B2B,1152781736307758475_182582980,FriJan1,1,1451642313,01
#693838,1152781778234965479_1403573902,FriJan1,1,1451642318,01
#9B6363,1152781901506563185_11389882,FriJan1,1,1451642333,01
#100E0E,1152781959856046226_228573247,FriJan1,1,1451642340,01
#699A9A,1152782061259313171_1700799979,FriJan1,1,1451642352,01
#4E2D2D,1152782085960684236_26681971,FriJan1,1,1451642355,01
#010000,1152782250178730640_324864565,FriJan1,1,1451642374,01
#734848,1152782415920386877_212749115,FriJan1,1,1451642394,01
#7D6E6E,1162899462563857264_198706823,FriJan15,15,1452848440,01
#6B4343,1162899749925278486_1359998059,FriJan15,15,1452848474,01
#452929,1162899875569319176_1832542,FriJan15,15,1452848489,01
#251515,1162899908966277824_241144407,FriJan15,15,1452848493,01
#7F8888,1162900014988432969_182582980,FriJan15,15,1452848506,01
#363636,1162900163835206823_248882310,FriJan15,15,1452848524,01
#8C7A7A,1162900225760216012_1505842607,FriJan15,15,1452848531,01
#442929,1162900266518087848_375150289,FriJan15,15,1452848536,01
#C28181,1162900482468825118_1930868025,FriJan15,15,1452848562,01
#6D6767,1162900512935550661_197032342,FriJan15,15,1452848565,01
#D4AFAF,1162901574085246708_309646534,FriJan15,15,1452848692,01
#142323,1162901730288886382_11175919,FriJan15,15,1452848710,01
#664040,1162901989566249544_1482618133,FriJan15,15,1452848741,01
#717171,1162901994496514909_4110949,FriJan15,15,1452848742,01
#1B0606,1162902135890144002_1524574505,FriJan15,15,1452848759,01
#646F6F,1162902879346724580_1440143938,FriJan15,15,1452848847,01
#584C4C,1162904641842377980_199542748,FriJan15,15,1452849057,01
#786D6D,1162904694465436851_2549019038,FriJan15,15,1452849064,01
#6A7474,1162906231148617894_271878303,FriJan15,15,1452849247,01
#AD9090,1162906357301863151_1271525343,FriJan15,15,1452849262,01
#9F8A8A,1162907526951779175_616736453,FriJan15,15,1452849401,01
#A89090,1162907851439747043_6041290,FriJan15,15,1452849440,01
#6F7F7F,1162908180544429302_2549019038,FriJan15,15,1452849479,01
#835858,1162908289224680719_1490371544,FriJan15,15,1452849492,01
#C03636,1162908635312680718_1757225762,FriJan15,15,1452849533,01
#BF7575,1162909217265952550_182842696,FriJan15,15,1452849603,01
#7A7777,1162909804326281750_312048063,FriJan15,15,1452849673,01
#CD9797,1162909991004193444_20630943,FriJan15,15,1452849695,01
#959A9A,1162910201577735571_30208584,FriJan15,15,1452849720,01
#879090,1162911588094162694_290605620,FriJan15,15,1452849885,01
#A98C8C,1162911847237638123_225293156,FriJan15,15,1452849916,01
#8A7474,1162911993147241027_1798446355,FriJan15,15,1452849934,01
#6B9292,1162912044025984167_1502178148,FriJan15,15,1452849940,01
#5D3A3A,1162913049062108683_16555218,FriJan15,15,1452850060,01
#704747,1162913462033881524_175040805,FriJan15,15,1452850109,01
#6D2323,1162914079536682475_1980716380,FriJan15,15,1452850182,01
#050909,1162914375639248361_2189992826,FriJan15,15,1452850218,01
#968B8B,1162914502107143531_2549019038,FriJan15,15,1452850233,01
#927474,1162914669250683791_1573204551,FriJan15,15,1452850253,01
#260C0C,1162914808173914024_356999056,FriJan15,15,1452850269,01
#6D4242,1162914963489573866_1107714625,FriJan15,15,1452850288,01
#928181,1162915308042943204_1119609317,FriJan15,15,1452850329,01
#7E2828,1162915694075287050_1980716380,FriJan15,15,1452850375,01
#B38E8E,1162916026593545091_294138553,FriJan15,15,1452850415,01
#397171,1162916491121153590_515848604,FriJan15,15,1452850470,01
#553333,1162916533046614670_13217821,FriJan15,15,1452850475,01
#5F5C5C,1162916600272324549_479347240,FriJan15,15,1452850483,01
#1E1313,1162916837257642023_1434766023,FriJan15,15,1452850511,01
#353535,1162917742046227651_2219882698,FriJan15,15,1452850619,01
#3F3030,1162919386304321088_1980716380,FriJan15,15,1452850815,01
#727272,1162920146641241040_226763215,FriJan15,15,1452850906,01
#BAAFAF,1162920606294458725_2531727671,FriJan15,15,1452850960,01
#565B5B,1162921383740094718_3970557,FriJan15,15,1452851053,01
#8C4545,1162921627923706486_577200187,FriJan15,15,1452851082,01
#979797,1162922549421804084_323576281,FriJan15,15,1452851192,01
#555252,1162924461713253350_33150503,FriJan15,15,1452851420,01
#9FA2A2,1162924540845004172_190727468,FriJan15,15,1452851430,01
#6B5858,1162924663218955221_196533383,FriJan15,15,1452851444,01
#9D9A9A,1162925257745116023_315503721,FriJan15,15,1452851515,01
#1B1313,1162925315408628849_1440143938,FriJan15,15,1452851522,01
#A97272,1162925329426118400_966854060,FriJan15,15,1452851524,01
#815252,1162925412571869352_1658396979,FriJan15,15,1452851533,01
#CBA7A7,1162925642598020868_966854060,FriJan15,15,1452851561,01
#595E5E,1162927211851883665_344891096,FriJan15,15,1452851748,01
#868383,1162927787486423870_1216750969,FriJan15,15,1452851816,01
#393737,1162928109407222125_1925235557,FriJan15,15,1452851855,01
